comparison,N,B,baseline,variant,n,baseline_bytes_per_request,variant_bytes_per_request,bytes_saving_pct,ci95_low_pct,ci95_high_pct,rpc_saving_pct
SDE/Path,4096,4096,path,sde,5,435568.0,278471.3765625,36.067071832067555,35.975385863514006,36.1587578006211,-33.3251953125
SDE/Deferred,4096,4096,deferred,sde,5,366897.88671875,278471.3765625,24.101122780255864,23.992276489785006,24.20996907072672,0.0
R0/Ring,4096,4096,ring,r0,5,331068.99375,242930.540625,26.622364794613482,26.452563876374448,26.792165712852515,0.0
SDE/Path,16384,64,path,sde,5,57432.0,42591.265234375,25.840532744158306,25.689657469921652,25.99140801839496,-33.33740234375
SDE/Deferred,16384,64,deferred,sde,5,54884.77734375,42591.265234375,22.398764656325827,22.240887205248832,22.556642107402823,0.0
R0/Ring,16384,64,ring,r0,5,67093.5796875,48579.6234375,27.594171798436168,27.46057082025425,27.727772776618085,0.0
SDE/Path,16384,256,path,sde,5,80472.0,57098.998046875,29.04488760453947,28.934905997138237,29.1548692119407,-33.33740234375
SDE/Deferred,16384,256,deferred,sde,5,74082.90234375,57098.998046875,22.92553849749091,22.806071796932596,23.04500519804922,0.0
R0/Ring,16384,256,ring,r0,5,83775.553125,60907.8515625,27.296367564352114,27.186439870756125,27.406295257948102,0.0
SDE/Path,16384,1024,path,sde,5,172632.0,115128.9375,33.30961959544001,33.21618402638006,33.40305516449996,-33.33740234375
SDE/Deferred,16384,1024,deferred,sde,5,150875.40234375,115128.9375,23.69270556263792,23.585796358702822,23.799614766573015,0.0
R0/Ring,16384,1024,ring,r0,5,150715.7734375,110173.40234375,26.899855363745434,26.780705967682884,27.019004759807984,0.0
SDE/Path,65536,4096,path,sde,5,617912.0,395959.599609375,35.91974268028862,35.850036780659266,35.989448579917976,-33.33740234375
SDE/Deferred,65536,4096,deferred,sde,5,523108.1875,395959.599609375,24.306365476381497,24.224026654544996,24.388704298218,0.0
R0/Ring,65536,4096,ring,r0,5,478348.4734375,353891.49296875,26.017949281327564,25.815600531304558,26.22029803135057,0.0
