height,threshold,known_upper_hex,unknown_moment_hex,total_upper_hex,total_upper_decimal
1,0,0x1.32073f1e7163fp-2,0x1.2aa7751db5992p-5,0x1.575c2dc228172p-2,3.35312571502092927e-01
1,1,0x1.e3022f300c695p-4,0x1.2aa7751db5992p-5,0x1.3c2af4df739afp-3,1.54378808087540759e-01
1,2,0x1.35b7241ecf497p-5,0x1.2aa7751db5992p-5,0x1.302f4c9e42715p-4,7.42638581179132091e-02
1,3,0x1.0978681a68881p-7,0x1.2aa7751db5992p-5,0x1.6d058f244fbb3p-5,4.45583148707479268e-02
1,4,0x0p+0,0x1.2aa7751db5992p-5,0x1.2aa7751db5992p-5,3.64568030760664825e-02
1,5,0x0p+0,0x1.2aa7751db5992p-5,0x1.2aa7751db5992p-5,3.64568030760664825e-02
1,6,0x0p+0,0x1.2aa7751db5992p-5,0x1.2aa7751db5992p-5,3.64568030760664825e-02
1,7,0x0p+0,0x1.2aa7751db5992p-5,0x1.2aa7751db5992p-5,3.64568030760664825e-02
1,8,0x0p+0,0x1.2aa7751db5992p-5,0x1.2aa7751db5992p-5,3.64568030760664825e-02
2,0,0x1.76cb206e99445p-1,0x1.1c10ab014e9e3p-3,0x1.bdcf4b2eecebep-1,8.70722150304992005e-01
2,1,0x1.706c3d5057e7bp-2,0x1.1c10ab014e9e3p-3,0x1.fe7492d0ff36dp-2,4.98491567617569243e-01
2,2,0x1.45151a2fe0574p-3,0x1.1c10ab014e9e3p-3,0x1.3092e298977acp-2,2.97435322345217968e-01
2,3,0x1.f905e842125d4p-5,0x1.1c10ab014e9e3p-3,0x1.9a522511d3358p-3,2.00351991278149511e-01
2,4,0x1.50a1a02f49f0cp-6,0x1.1c10ab014e9e3p-3,0x1.4624df0737dc5p-3,1.59250013740331792e-01
2,5,0x1.c41d45994ba74p-8,0x1.1c10ab014e9e3p-3,0x1.2a31952e18fb7p-3,1.45602384061133100e-01
2,6,0x1.f49f9bbe2075dp-10,0x1.1c10ab014e9e3p-3,0x1.1ff9ea38cadf2p-3,1.40613393648308327e-01
2,7,0x1.7592842984fefp-12,0x1.1c10ab014e9e3p-3,0x1.1ccb74436360bp-3,1.39059933001064757e-01
2,8,0x0p+0,0x1.1c10ab014e9e3p-3,0x1.1c10ab014e9e3p-3,1.38703666665448728e-01
3,0,0x1.5cf0a7c9024ccp+0,0x1.c0ddf1ef1e0a5p-2,0x1.cd282444c9cf6p+0,1.80139376334574087e+00
3,1,0x1.9c3fc301e17c2p-1,0x1.c0ddf1ef1e0a5p-2,0x1.3e575dfcb840bp+0,1.24352061672130066e+00
3,2,0x1.c578769df85e5p-2,0x1.c0ddf1ef1e0a5p-2,0x1.c32b34468b345p-1,8.81188996897983246e-01
3,3,0x1.ce00f73d3c0fep-3,0x1.c0ddf1ef1e0a5p-2,0x1.53ef36c6de092p-1,6.63934432769581529e-01
3,4,0x1.af57469a15012p-4,0x1.c0ddf1ef1e0a5p-2,0x1.1659e1cad1a55p-1,5.43654495247049341e-01
3,5,0x1.70fdec237ef85p-5,0x1.c0ddf1ef1e0a5p-2,0x1.eefdaf738de96p-2,4.83389607837560021e-01
3,6,0x1.08576d6c3cf3ep-6,0x1.c0ddf1ef1e0a5p-2,0x1.d16368c5e1d99p-2,4.54480778768322547e-01
3,7,0x1.0009dbdbc60a5p-8,0x1.c0ddf1ef1e0a5p-2,0x1.c4de195e8d228p-2,4.42253490825609053e-01
3,8,0x0p+0,0x1.c0ddf1ef1e0a5p-2,0x1.c0ddf1ef1e0a5p-2,4.38346653194012171e-01
4,0,0x1.0a9d99895db23p+1,0x1.6a8b691ce3ab4p+0,0x1.bfe34e17cf87dp+1,3.49912429964666539e+00
4,1,0x1.6a9c38f467c84p+0,0x1.6a8b691ce3ab4p+0,0x1.6a93d108a5b9cp+1,2.83263600275263450e+00
4,2,0x1.d1d4b6ff42cf8p-1,0x1.6a8b691ce3ab4p+0,0x1.29bae24e42898p+1,2.32601574727329919e+00
4,3,0x1.1855d4ee72042p-1,0x1.6a8b691ce3ab4p+0,0x1.f6b653941cad5p+0,1.96371958127990820e+00
4,4,0x1.37238ec60da6bp-2,0x1.6a8b691ce3ab4p+0,0x1.b8544cce6714fp+0,1.72003631629111787e+00
4,5,0x1.3566a2d37503bp-3,0x1.6a8b691ce3ab4p+0,0x1.91383d77524bcp+0,1.56726440585252558e+00
4,6,0x1.feba91f76009p-5,0x1.6a8b691ce3ab4p+0,0x1.7a813dac9eab9p+0,1.47853455986357419e+00
4,7,0x1.18db695af6ff7p-6,0x1.6a8b691ce3ab4p+0,0x1.6eeed6c24f874p+0,1.43333189243233239e+00
4,8,0x0p+0,0x1.6a8b691ce3ab4p+0,0x1.6a8b691ce3ab4p+0,1.41618973689371064e+00
