height,threshold,known_upper_hex,unknown_moment_hex,total_upper_hex,total_upper_decimal
1,0,0x1.0978681a68881p-7,0x1.2aa7751db5992p-5,0x1.6d058f244fbb3p-5,4.45583148707479268e-02
1,1,0x0p+0,0x1.2aa7751db5992p-5,0x1.2aa7751db5992p-5,3.64568030760664825e-02
1,2,0x0p+0,0x1.2aa7751db5992p-5,0x1.2aa7751db5992p-5,3.64568030760664825e-02
1,3,0x0p+0,0x1.2aa7751db5992p-5,0x1.2aa7751db5992p-5,3.64568030760664825e-02
1,4,0x0p+0,0x1.2aa7751db5992p-5,0x1.2aa7751db5992p-5,3.64568030760664825e-02
1,5,0x0p+0,0x1.2aa7751db5992p-5,0x1.2aa7751db5992p-5,3.64568030760664825e-02
1,6,0x0p+0,0x1.2aa7751db5992p-5,0x1.2aa7751db5992p-5,3.64568030760664825e-02
1,7,0x0p+0,0x1.2aa7751db5992p-5,0x1.2aa7751db5992p-5,3.64568030760664825e-02
1,8,0x0p+0,0x1.2aa7751db5992p-5,0x1.2aa7751db5992p-5,3.64568030760664825e-02
2,0,0x1.0b620ba15d43p-6,0x1.10cde1520fd11p-3,0x1.323a22c63b797p-3,1.49524947809763304e-01
2,1,0x1.1537c0d9392adp-13,0x1.10cde1520fd11p-3,0x1.11132f42461f6p-3,1.33337372980136316e-01
2,2,0x1.1d799988986b1p-21,0x1.10cde1520fd11p-3,0x1.10ce28b076334p-3,1.33205716977295219e-01
2,3,0x0p+0,0x1.10cde1520fd11p-3,0x1.10cde1520fd11p-3,1.33205185238673113e-01
2,4,0x0p+0,0x1.10cde1520fd11p-3,0x1.10cde1520fd11p-3,1.33205185238673113e-01
2,5,0x0p+0,0x1.10cde1520fd11p-3,0x1.10cde1520fd11p-3,1.33205185238673113e-01
2,6,0x0p+0,0x1.10cde1520fd11p-3,0x1.10cde1520fd11p-3,1.33205185238673113e-01
2,7,0x0p+0,0x1.10cde1520fd11p-3,0x1.10cde1520fd11p-3,1.33205185238673113e-01
2,8,0x0p+0,0x1.10cde1520fd11p-3,0x1.10cde1520fd11p-3,1.33205185238673113e-01
3,0,0x1.9108fa743672cp-6,0x1.81f83a5c2c2efp-2,0x1.9b08ca036f962p-2,4.01400715312680956e-01
3,1,0x1.a29027ae8ba81p-12,0x1.81f83a5c2c2efp-2,0x1.8260de6617d1ep-2,3.77322649937882449e-01
3,2,0x1.46750c677825bp-18,0x1.81f83a5c2c2efp-2,0x1.81f980d138967p-2,3.76928341646041110e-01
3,3,0x1.7843f5d66dcep-25,0x1.81f83a5c2c2efp-2,0x1.81f83d4cb41aap-2,3.76923520857440964e-01
3,4,0x1.3716b60d76f98p-32,0x1.81f83a5c2c2efp-2,0x1.81f83a610889dp-2,3.76923477337308744e-01
3,5,0x1.4100684bad45p-40,0x1.81f83a5c2c2efp-2,0x1.81f83a5c3133p-2,3.76923477055515655e-01
3,6,0x1.4a1ecc14ba0a6p-49,0x1.81f83a5c2c2efp-2,0x1.81f83a5c2c319p-2,3.76923477054377510e-01
3,7,0x0p+0,0x1.81f83a5c2c2efp-2,0x1.81f83a5c2c2efp-2,3.76923477054375178e-01
3,8,0x0p+0,0x1.81f83a5c2c2efp-2,0x1.81f83a5c2c2efp-2,3.76923477054375178e-01
4,0,0x1.94d6b5277adc4p-6,0x1.f447dd12ba35ep-1,0x1.0077495dfb067p+0,1.00182016891906201e+00
4,1,0x1.5de1590c613bap-11,0x1.f447dd12ba35ep-1,0x1.f49f5568fd4e3p-1,9.77778119150255143e-01
4,2,0x1.dc00534fd89c2p-17,0x1.f447dd12ba35ep-1,0x1.f449b9130d85cp-1,9.77124961448463392e-01
4,3,0x1.18f92cd23f4e1p-22,0x1.f447dd12ba35ep-1,0x1.f447e5da839c8p-1,9.77111037181935594e-01
4,4,0x1.17f627affbb4ep-28,0x1.f447dd12ba35ep-1,0x1.f447dd35b8faep-1,9.77110779579097644e-01
4,5,0x1.dc1c5bcd8dd3ap-35,0x1.f447dd12ba35ep-1,0x1.f447dd13313dp-1,9.77110775559248524e-01
4,6,0x1.5725fbe08e51dp-41,0x1.f447dd12ba35ep-1,0x1.f447dd12bb8d1p-1,9.77110775505730556e-01
4,7,0x1.9b83225f951cp-48,0x1.f447dd12ba35ep-1,0x1.f447dd12ba392p-1,9.77110775505126706e-01
4,8,0x0p+0,0x1.f447dd12ba35ep-1,0x1.f447dd12ba35ep-1,9.77110775505120933e-01
