height,threshold,known_upper_hex,unknown_moment_hex,total_upper_hex,total_upper_decimal
1,0,0x1.0978681a68881p-7,0x1.2aa7751db5992p-5,0x1.6d058f244fbb3p-5,4.45583148707479268e-02
1,1,0x0p+0,0x1.2aa7751db5992p-5,0x1.2aa7751db5992p-5,3.64568030760664825e-02
1,2,0x0p+0,0x1.2aa7751db5992p-5,0x1.2aa7751db5992p-5,3.64568030760664825e-02
1,3,0x0p+0,0x1.2aa7751db5992p-5,0x1.2aa7751db5992p-5,3.64568030760664825e-02
1,4,0x0p+0,0x1.2aa7751db5992p-5,0x1.2aa7751db5992p-5,3.64568030760664825e-02
1,5,0x0p+0,0x1.2aa7751db5992p-5,0x1.2aa7751db5992p-5,3.64568030760664825e-02
1,6,0x0p+0,0x1.2aa7751db5992p-5,0x1.2aa7751db5992p-5,3.64568030760664825e-02
1,7,0x0p+0,0x1.2aa7751db5992p-5,0x1.2aa7751db5992p-5,3.64568030760664825e-02
1,8,0x0p+0,0x1.2aa7751db5992p-5,0x1.2aa7751db5992p-5,3.64568030760664825e-02
2,0,0x1.0b620ba15d43p-6,0x1.f233f931b189cp-4,0x1.1a863e0d046d4p-3,1.37951359531646945e-01
2,1,0x1.1537c0d9392adp-13,0x1.f233f931b189cp-4,0x1.f2be95121e266p-4,1.21763784702019956e-01
2,2,0x1.1d799988986b1p-21,0x1.f233f931b189cp-4,0x1.f23487ee7e4e1p-4,1.21632128699178846e-01
2,3,0x0p+0,0x1.f233f931b189cp-4,0x1.f233f931b189cp-4,1.21631596960556754e-01
2,4,0x0p+0,0x1.f233f931b189cp-4,0x1.f233f931b189cp-4,1.21631596960556754e-01
2,5,0x0p+0,0x1.f233f931b189cp-4,0x1.f233f931b189cp-4,1.21631596960556754e-01
2,6,0x0p+0,0x1.f233f931b189cp-4,0x1.f233f931b189cp-4,1.21631596960556754e-01
2,7,0x0p+0,0x1.f233f931b189cp-4,0x1.f233f931b189cp-4,1.21631596960556754e-01
2,8,0x0p+0,0x1.f233f931b189cp-4,0x1.f233f931b189cp-4,1.21631596960556754e-01
3,0,0x1.9108fa743672cp-6,0x1.4658dba1cda0dp-2,0x1.5f696b491108p-2,3.43175579390170072e-01
3,1,0x1.a29027ae8ba81p-12,0x1.4658dba1cda0dp-2,0x1.46c17fabb943cp-2,3.19097514015371564e-01
3,2,0x1.46750c677825bp-18,0x1.4658dba1cda0dp-2,0x1.465a2216da085p-2,3.18703205723530226e-01
3,3,0x1.7843f5d66dcep-25,0x1.4658dba1cda0dp-2,0x1.4658de92558c8p-2,3.18698384934930080e-01
3,4,0x1.3716b60d76f98p-32,0x1.4658dba1cda0dp-2,0x1.4658dba6a9fbbp-2,3.18698341414797859e-01
3,5,0x1.4100684bad45p-40,0x1.4658dba1cda0dp-2,0x1.4658dba1d2a4ep-2,3.18698341133004770e-01
3,6,0x1.4a1ecc14ba0a6p-49,0x1.4658dba1cda0dp-2,0x1.4658dba1cda37p-2,3.18698341131866625e-01
3,7,0x0p+0,0x1.4658dba1cda0dp-2,0x1.4658dba1cda0dp-2,3.18698341131864294e-01
3,8,0x0p+0,0x1.4658dba1cda0dp-2,0x1.4658dba1cda0dp-2,3.18698341131864294e-01
4,0,0x1.94d6b5277adc4p-6,0x1.8d569ba85b9e4p-1,0x1.99fd515197753p-1,8.00760785303035739e-01
4,1,0x1.5de1590c613bap-11,0x1.8d569ba85b9e4p-1,0x1.8dae13fe9eb69p-1,7.76718735534228988e-01
4,2,0x1.dc00534fd89c2p-17,0x1.8d569ba85b9e4p-1,0x1.8d5877a8aeee2p-1,7.76065577832437237e-01
4,3,0x1.18f92cd23f4e1p-22,0x1.8d569ba85b9e4p-1,0x1.8d56a4702504ep-1,7.76051653565909439e-01
4,4,0x1.17f627affbb4ep-28,0x1.8d569ba85b9e4p-1,0x1.8d569bcb5a634p-1,7.76051395963071489e-01
4,5,0x1.dc1c5bcd8dd3ap-35,0x1.8d569ba85b9e4p-1,0x1.8d569ba8d2a56p-1,7.76051391943222369e-01
4,6,0x1.5725fbe08e51dp-41,0x1.8d569ba85b9e4p-1,0x1.8d569ba85cf57p-1,7.76051391889704401e-01
4,7,0x1.9b83225f951cp-48,0x1.8d569ba85b9e4p-1,0x1.8d569ba85ba18p-1,7.76051391889100551e-01
4,8,0x0p+0,0x1.8d569ba85b9e4p-1,0x1.8d569ba85b9e4p-1,7.76051391889094778e-01
