height,mass_upper_hex,mean_upper_hex,unknown_prob_hex,unknown_moment_hex,exit_prob_hex,exit_moment_hex,seconds
1,0x1.000000000007ap+0,0x1.19b531acaa0b9p-6,0x1.fd7482f26fb78p-524,0x1.00c3bf5947ef5p-516,0x0p+0,0x0p+0,0.0248361
2,0x1.0000000000129p+0,0x1.2294699d4d711p-5,0x1.7e176235d3c9cp-522,0x1.872f817a92f34p-515,0x0.00000000000a5p-1022,0x0.00000000000a5p-1022,0.0276048
3,0x1.000000000015p+0,0x1.c22f6c7e2b497p-5,0x1.bdc5f29421c0ep-521,0x1.d07921f385e8dp-514,0x1.f0c70a9dddc1bp-872,0x1.10b60efe73765p-863,0.0408917
4,0x1.00000000001ap+0,0x1.e99a9670aa94ep-5,0x1.dd9d3ac348bc8p-520,0x1.fb3c3be10f589p-513,0x1.9b93c2d93b908p-711,0x1.c3fb4c3c53cd2p-703,0.604071
5,0x1.000000000024p+0,0x1.06594f0dce909p-4,0x1.ed88dedadc3a7p-519,0x1.0b5b865528991p-511,0x1.68e22675915ecp-623,0x1.8c6e31c40c537p-615,0.655937
6,0x1.0000000000382p+0,0x1.15247aaf239a1p-4,0x1.f57eb0e6a5f98p-518,0x1.1547d15eabcfp-510,0x1.168dcdd282b33p-577,0x1.320dc82bd6812p-569,0.614346
7,0x1.0000000000605p+0,0x1.1c1d611f2a0a5p-4,0x1.f97999f5d7849p-517,0x1.1d4c4d74edf42p-509,0x1.29956d12d45c2p-546,0x1.4702c6cae79abp-538,0.609764
8,0x1.0000000000b0fp+0,0x1.21dca63093f77p-4,0x1.fe4223c358603p-516,0x1.276eb90c44d2cp-508,0x1.658aa54735e39p-523,0x1.88f24747bdbb1p-515,0.613097
9,0x1.000000000152p+0,0x1.2658260f72a2bp-4,0x1.979d7d29413c1p-505,0x1.bfc57ff30fd76p-497,0x1.971dacf1c007ap-505,0x1.bf79fc6ab4d01p-497,0.604936
10,0x1.0000000002942p+0,0x1.2925a7ca4c09cp-4,0x1.41476469f34bap-490,0x1.612975908f24ep-482,0x1.414105f37f497p-490,0x1.612262e9c2694p-482,0.633044
11,0x1.0000000005187p+0,0x1.2b6353e52b4efp-4,0x1.512f200624604p-478,0x1.72ad1fd089947p-470,0x1.5106f7199719dp-478,0x1.72807f3d3babfp-470,0.626219
12,0x1.000000000a20dp+0,0x1.2d1d48013e854p-4,0x1.6e49db4d3cc55p-468,0x1.92b48a5cdd944p-460,0x1.6da143bd39b31p-468,0x1.91f92db39e553p-460,0.631329
13,0x1.000000001431ap+0,0x1.2e582ad6fbbdfp-4,0x1.16314a3e4f81cp-459,0x1.31e167a4e085dp-451,0x1.14c300630244fp-459,0x1.304a4d4f85fc9p-451,0.621309
14,0x1.0000000028531p+0,0x1.2f520f54c31ecp-4,0x1.704f24fcaf665p-452,0x1.9504860d1e3fap-444,0x1.6bf65fd3b6284p-452,0x1.902fa3fb928c9p-444,0.604535
15,0x1.000000005097p+0,0x1.30146d4c2b2d3p-4,0x1.f3637ac05ec89p-446,0x1.12a0cf4914312p-437,0x1.e7e10198794d5p-446,0x1.0c3b0c6234d3fp-437,0.596878
16,0x1.00000000a11d9p+0,0x1.30a7f0bc31573p-4,0x1.87f4a1763b4b4p-440,0x1.af320c0e5537dp-432,0x1.785985a03854fp-440,0x1.9dd8052f448bdp-432,0.629265
17,0x1.00000001422b6p+0,0x1.311d5cfc62d5cp-4,0x1.8773e68ce512dp-435,0x1.aec5e46eb88eep-427,0x1.6ef49c75815e1p-435,0x1.9387735bec29p-427,0.61493
18,0x1.000000028446cp+0,0x1.3179fd6e62cbbp-4,0x1.0bc5ac5a6fe8bp-430,0x1.26c847b377969p-422,0x1.e69cdbe3432efp-431,0x1.0b90b12355a41p-422,0.632451
19,0x1.00000005087dap+0,0x1.31c2a54686b1ep-4,0x1.0a20b4205d8e4p-426,0x1.251c56a08a81bp-418,0x1.d14ffd2a1f222p-427,0x1.ffb8c8fa83d98p-419,0.632732
20,0x1.0000000a10eacp+0,0x1.31fce31c494d1p-4,0x1.92d74a3f0ae01p-423,0x1.bbf04231b2e58p-415,0x1.504f1d36f37c7p-423,0x1.71dc9c953b30fp-415,0.612895
21,0x1.0000001421c59p+0,0x1.322b6e5419952p-4,0x1.e29f4ac33db48p-420,0x1.0a1bfbef96947p-411,0x1.7de978337afc6p-420,0x1.a4063fd94e18bp-412,0.603683
22,0x1.00000028437afp+0,0x1.3250a4994b1d9p-4,0x1.d865a59cf9e5fp-417,0x1.04ad73904e1a6p-408,0x1.5fbdd2ec2a78bp-417,0x1.82d9ecdf9e044p-409,0.642692
23,0x1.0000005086e5bp+0,0x1.326eb53d804d6p-4,0x1.83dead8df06d9p-414,0x1.ac7607c33101p-406,0x1.0dc54426b1f4p-414,0x1.28b42cc59662bp-406,0.661769
24,0x1.000000a10dbbbp+0,0x1.3286fe7d18073p-4,0x1.112731cee6244p-411,0x1.2e0f097dd6ce3p-403,0x1.605f0cd6d4119p-412,0x1.838ebed682543p-404,0.681868
