height,threshold,known_upper_hex,unknown_moment_hex,total_upper_hex,total_upper_decimal
1,0,0x1.0978681a68881p-7,0x1.2aa7751db5992p-5,0x1.6d058f244fbb3p-5,4.45583148707479268e-02
1,1,0x0p+0,0x1.2aa7751db5992p-5,0x1.2aa7751db5992p-5,3.64568030760664825e-02
1,2,0x0p+0,0x1.2aa7751db5992p-5,0x1.2aa7751db5992p-5,3.64568030760664825e-02
1,3,0x0p+0,0x1.2aa7751db5992p-5,0x1.2aa7751db5992p-5,3.64568030760664825e-02
1,4,0x0p+0,0x1.2aa7751db5992p-5,0x1.2aa7751db5992p-5,3.64568030760664825e-02
1,5,0x0p+0,0x1.2aa7751db5992p-5,0x1.2aa7751db5992p-5,3.64568030760664825e-02
1,6,0x0p+0,0x1.2aa7751db5992p-5,0x1.2aa7751db5992p-5,3.64568030760664825e-02
1,7,0x0p+0,0x1.2aa7751db5992p-5,0x1.2aa7751db5992p-5,3.64568030760664825e-02
1,8,0x0p+0,0x1.2aa7751db5992p-5,0x1.2aa7751db5992p-5,3.64568030760664825e-02
2,0,0x1.17467c239691bp-7,0x1.10cde1520fd11p-3,0x1.22424914493a3p-3,1.41727991992550790e-01
2,1,0x1.1537c0d9392adp-13,0x1.10cde1520fd11p-3,0x1.11132f42461f6p-3,1.33337372980136316e-01
2,2,0x1.1d799988986b1p-21,0x1.10cde1520fd11p-3,0x1.10ce28b076334p-3,1.33205716977295219e-01
2,3,0x0p+0,0x1.10cde1520fd11p-3,0x1.10cde1520fd11p-3,1.33205185238673113e-01
2,4,0x0p+0,0x1.10cde1520fd11p-3,0x1.10cde1520fd11p-3,1.33205185238673113e-01
2,5,0x0p+0,0x1.10cde1520fd11p-3,0x1.10cde1520fd11p-3,1.33205185238673113e-01
2,6,0x0p+0,0x1.10cde1520fd11p-3,0x1.10cde1520fd11p-3,1.33205185238673113e-01
2,7,0x0p+0,0x1.10cde1520fd11p-3,0x1.10cde1520fd11p-3,1.33205185238673113e-01
2,8,0x0p+0,0x1.10cde1520fd11p-3,0x1.10cde1520fd11p-3,1.33205185238673113e-01
3,0,0x1.146ebcb1259dp-7,0x1.81b925813f2fep-2,0x1.8a5c9b66c85cdp-2,3.85118892811161129e-01
3,1,0x1.2db273decd9e6p-13,0x1.81b925813f2fep-2,0x1.81dedbcfbb09ap-2,3.76826700738783438e-01
3,2,0x1.7264c125a93eep-19,0x1.81b925813f2fep-2,0x1.81b9deb39fc2cp-2,3.76685600007422350e-01
3,3,0x1.cfb4d5b1924d3p-26,0x1.81b925813f2fep-2,0x1.81b92750f405ap-2,3.76682867351524231e-01
3,4,0x1.da743e3e852f8p-33,0x1.81b925813f2fep-2,0x1.81b92584f4186p-2,3.76682840576016865e-01
3,5,0x1.4100684bad45p-40,0x1.81b925813f2fep-2,0x1.81b925814433fp-2,3.76682840361400595e-01
3,6,0x1.4a1ecc14ba0a6p-49,0x1.81b925813f2fep-2,0x1.81b925813f328p-2,3.76682840360262450e-01
3,7,0x0p+0,0x1.81b925813f2fep-2,0x1.81b925813f2fep-2,3.76682840360260119e-01
3,8,0x0p+0,0x1.81b925813f2fep-2,0x1.81b925813f2fep-2,3.76682840360260119e-01
4,0,0x1.0c461266d0d5fp-7,0x1.f3850db59633fp-1,0x1.f7b625ff31775p-1,9.83811557199017473e-01
4,1,0x1.27c35d47533e5p-13,0x1.f3850db59633fp-1,0x1.f39789eb6aa93p-1,9.75765523898490251e-01
4,2,0x1.92944b3245d6dp-19,0x1.f3850db59633fp-1,0x1.f385725aa9009p-1,9.75627492491640714e-01
4,3,0x1.17b5e98b0c479p-24,0x1.f3850db59633fp-1,0x1.f3850fe502071p-1,9.75624558167522805e-01
4,4,0x1.10513bb41e0f5p-30,0x1.f3850db59633fp-1,0x1.f3850dbe18bddp-1,9.75624494033009549e-01
4,5,0x1.e2625899ef29bp-37,0x1.f3850db59633fp-1,0x1.f3850db5b45a2p-1,9.75624493056035159e-01
4,6,0x1.86daca6dab83fp-43,0x1.f3850db59633fp-1,0x1.f3850db59695bp-1,9.75624493042498542e-01
4,7,0x1.0e9b04ae5a5bcp-49,0x1.f3850db59633fp-1,0x1.f3850db59635p-1,9.75624493042326791e-01
4,8,0x0p+0,0x1.f3850db59633fp-1,0x1.f3850db59633fp-1,9.75624493042324903e-01
