height,threshold,known_upper_hex,unknown_moment_hex,total_upper_hex,total_upper_decimal
1,0,0x1.0978681a68881p-7,0x1.2aa7751db5992p-5,0x1.6d058f244fbb3p-5,4.45583148707479268e-02
1,1,0x0p+0,0x1.2aa7751db5992p-5,0x1.2aa7751db5992p-5,3.64568030760664825e-02
1,2,0x0p+0,0x1.2aa7751db5992p-5,0x1.2aa7751db5992p-5,3.64568030760664825e-02
1,3,0x0p+0,0x1.2aa7751db5992p-5,0x1.2aa7751db5992p-5,3.64568030760664825e-02
1,4,0x0p+0,0x1.2aa7751db5992p-5,0x1.2aa7751db5992p-5,3.64568030760664825e-02
1,5,0x0p+0,0x1.2aa7751db5992p-5,0x1.2aa7751db5992p-5,3.64568030760664825e-02
1,6,0x0p+0,0x1.2aa7751db5992p-5,0x1.2aa7751db5992p-5,3.64568030760664825e-02
1,7,0x0p+0,0x1.2aa7751db5992p-5,0x1.2aa7751db5992p-5,3.64568030760664825e-02
1,8,0x0p+0,0x1.2aa7751db5992p-5,0x1.2aa7751db5992p-5,3.64568030760664825e-02
2,0,0x1.0b620ba15d43p-6,0x1.10cde1520fd11p-3,0x1.323a22c63b797p-3,1.49524947809763304e-01
2,1,0x1.1537c0d9392adp-13,0x1.10cde1520fd11p-3,0x1.11132f42461f6p-3,1.33337372980136316e-01
2,2,0x1.1d799988986b1p-21,0x1.10cde1520fd11p-3,0x1.10ce28b076334p-3,1.33205716977295219e-01
2,3,0x0p+0,0x1.10cde1520fd11p-3,0x1.10cde1520fd11p-3,1.33205185238673113e-01
2,4,0x0p+0,0x1.10cde1520fd11p-3,0x1.10cde1520fd11p-3,1.33205185238673113e-01
2,5,0x0p+0,0x1.10cde1520fd11p-3,0x1.10cde1520fd11p-3,1.33205185238673113e-01
2,6,0x0p+0,0x1.10cde1520fd11p-3,0x1.10cde1520fd11p-3,1.33205185238673113e-01
2,7,0x0p+0,0x1.10cde1520fd11p-3,0x1.10cde1520fd11p-3,1.33205185238673113e-01
2,8,0x0p+0,0x1.10cde1520fd11p-3,0x1.10cde1520fd11p-3,1.33205185238673113e-01
3,0,0x1.9108fa743672cp-6,0x1.81f83a5bff1f8p-2,0x1.9b08ca034286bp-2,4.01400715302435430e-01
3,1,0x1.a29027ae8ba81p-12,0x1.81f83a5bff1f8p-2,0x1.8260de65eac27p-2,3.77322649927636922e-01
3,2,0x1.46750c677825bp-18,0x1.81f83a5bff1f8p-2,0x1.81f980d10b87p-2,3.76928341635795583e-01
3,3,0x1.7843f5d66dcep-25,0x1.81f83a5bff1f8p-2,0x1.81f83d4c870b3p-2,3.76923520847195437e-01
3,4,0x1.3716b60d76f98p-32,0x1.81f83a5bff1f8p-2,0x1.81f83a60db7a6p-2,3.76923477327063217e-01
3,5,0x1.4100684bad45p-40,0x1.81f83a5bff1f8p-2,0x1.81f83a5c04239p-2,3.76923477045270128e-01
3,6,0x1.4a1ecc14ba0a6p-49,0x1.81f83a5bff1f8p-2,0x1.81f83a5bff222p-2,3.76923477044131983e-01
3,7,0x0p+0,0x1.81f83a5bff1f8p-2,0x1.81f83a5bff1f8p-2,3.76923477044129652e-01
3,8,0x0p+0,0x1.81f83a5bff1f8p-2,0x1.81f83a5bff1f8p-2,3.76923477044129652e-01
4,0,0x1.94d6b5277adc4p-6,0x1.f447dd0e5b71bp-1,0x1.0077495bcba45p+0,1.00182016841030586e+00
4,1,0x1.5de1590c613bap-11,0x1.f447dd0e5b71bp-1,0x1.f49f55649e8ap-1,9.77778118641499106e-01
4,2,0x1.dc00534fd89c2p-17,0x1.f447dd0e5b71bp-1,0x1.f449b90eaec19p-1,9.77124960939707355e-01
4,3,0x1.18f92cd23f4e1p-22,0x1.f447dd0e5b71bp-1,0x1.f447e5d624d85p-1,9.77111036673179557e-01
4,4,0x1.17f627affbb4ep-28,0x1.f447dd0e5b71bp-1,0x1.f447dd315a36bp-1,9.77110779070341607e-01
4,5,0x1.dc1c5bcd8dd3ap-35,0x1.f447dd0e5b71bp-1,0x1.f447dd0ed278dp-1,9.77110775050492487e-01
4,6,0x1.5725fbe08e51dp-41,0x1.f447dd0e5b71bp-1,0x1.f447dd0e5cc8ep-1,9.77110774996974519e-01
4,7,0x1.9b83225f951cp-48,0x1.f447dd0e5b71bp-1,0x1.f447dd0e5b74fp-1,9.77110774996370668e-01
4,8,0x0p+0,0x1.f447dd0e5b71bp-1,0x1.f447dd0e5b71bp-1,9.77110774996364895e-01
