height,threshold,known_upper_hex,unknown_moment_hex,total_upper_hex,total_upper_decimal
1,0,0x1.0978681a68881p-15,0x1.ddd8bb62bc284p-15,0x1.73a891be92583p-14,8.86102852543282628e-05
1,1,0x0p+0,0x1.ddd8bb62bc284p-15,0x1.ddd8bb62bc284p-15,5.69637548063538842e-05
1,2,0x0p+0,0x1.ddd8bb62bc284p-15,0x1.ddd8bb62bc284p-15,5.69637548063538842e-05
1,3,0x0p+0,0x1.ddd8bb62bc284p-15,0x1.ddd8bb62bc284p-15,5.69637548063538842e-05
1,4,0x0p+0,0x1.ddd8bb62bc284p-15,0x1.ddd8bb62bc284p-15,5.69637548063538842e-05
1,5,0x0p+0,0x1.ddd8bb62bc284p-15,0x1.ddd8bb62bc284p-15,5.69637548063538842e-05
1,6,0x0p+0,0x1.ddd8bb62bc284p-15,0x1.ddd8bb62bc284p-15,5.69637548063538842e-05
1,7,0x0p+0,0x1.ddd8bb62bc284p-15,0x1.ddd8bb62bc284p-15,5.69637548063538842e-05
1,8,0x0p+0,0x1.ddd8bb62bc284p-15,0x1.ddd8bb62bc284p-15,5.69637548063538842e-05
2,0,0x1.a71c33d84097ep-19,0x1.8d6de83f1caap-13,0x1.940a590e7dac6p-13,1.92661486337638948e-04
2,1,0x1.eb93fb9dbfe87p-32,0x1.8d6de83f1caap-13,0x1.8d6e25b19c1dcp-13,1.89509517031462706e-04
2,2,0x1.1d799988986b1p-45,0x1.8d6de83f1caap-13,0x1.8d6de8403a23ap-13,1.89509069975517437e-04
2,3,0x0p+0,0x1.8d6de83f1caap-13,0x1.8d6de83f1caap-13,1.89509069943823335e-04
2,4,0x0p+0,0x1.8d6de83f1caap-13,0x1.8d6de83f1caap-13,1.89509069943823335e-04
2,5,0x0p+0,0x1.8d6de83f1caap-13,0x1.8d6de83f1caap-13,1.89509069943823335e-04
2,6,0x0p+0,0x1.8d6de83f1caap-13,0x1.8d6de83f1caap-13,1.89509069943823335e-04
2,7,0x0p+0,0x1.8d6de83f1caap-13,0x1.8d6de83f1caap-13,1.89509069943823335e-04
2,8,0x0p+0,0x1.8d6de83f1caap-13,0x1.8d6de83f1caap-13,1.89509069943823335e-04
3,0,0x1.92deb0822c699p-27,0x1.01dd6a85c65c4p-11,0x1.01defd6476de7p-11,4.91850002215907310e-04
3,1,0x1.d434d0ad52759p-39,0x1.01dd6a85c65c4p-11,0x1.01dd6aa309a95p-11,4.91838280486006142e-04
3,2,0x1.9806e48449735p-51,0x1.01dd6a85c65c4p-11,0x1.01dd6a85c7f45p-11,4.91838277159908065e-04
3,3,0x1.075c0d3ce74dcp-63,0x1.01dd6a85c65c4p-11,0x1.01dd6a85c65c6p-11,4.91838277159200406e-04
3,4,0x1.e97894ce4d295p-77,0x1.01dd6a85c65c4p-11,0x1.01dd6a85c65c5p-11,4.91838277159200297e-04
3,5,0x1.1c42ede9a3495p-90,0x1.01dd6a85c65c4p-11,0x1.01dd6a85c65c5p-11,4.91838277159200297e-04
3,6,0x1.4a1ecc14ba0a6p-105,0x1.01dd6a85c65c4p-11,0x1.01dd6a85c65c5p-11,4.91838277159200297e-04
3,7,0x0p+0,0x1.01dd6a85c65c4p-11,0x1.01dd6a85c65c4p-11,4.91838277159200189e-04
3,8,0x0p+0,0x1.01dd6a85c65c4p-11,0x1.01dd6a85c65c4p-11,4.91838277159200189e-04
4,0,0x1.44c30654b6ff9p-44,0x1.32f85f0fea9bp-10,0x1.32f85f103bcbdp-10,1.17099838467619945e-03
4,1,0x1.3a7ee61171ee2p-55,0x1.32f85f0fea9bp-10,0x1.32f85f0feaa4ep-10,1.17099838460412191e-03
4,2,0x1.db3649a1259f9p-67,0x1.32f85f0fea9bp-10,0x1.32f85f0fea9b1p-10,1.17099838460408787e-03
4,3,0x1.394649468efe8p-78,0x1.32f85f0fea9bp-10,0x1.32f85f0fea9b1p-10,1.17099838460408787e-03
4,4,0x1.5c98cd116b6e4p-90,0x1.32f85f0fea9bp-10,0x1.32f85f0fea9b1p-10,1.17099838460408787e-03
4,5,0x1.4b8cb1cb58702p-102,0x1.32f85f0fea9bp-10,0x1.32f85f0fea9b1p-10,1.17099838460408787e-03
4,6,0x1.0b8eb24deb46fp-114,0x1.32f85f0fea9bp-10,0x1.32f85f0fea9b1p-10,1.17099838460408787e-03
4,7,0x1.6d289f9d5dd49p-127,0x1.32f85f0fea9bp-10,0x1.32f85f0fea9b1p-10,1.17099838460408787e-03
4,8,0x0p+0,0x1.32f85f0fea9bp-10,0x1.32f85f0fea9bp-10,1.17099838460408765e-03
