height,threshold,known_upper_hex,unknown_moment_hex,total_upper_hex,total_upper_decimal
1,0,0x1.0978681a6888bp-7,0x1.2aa7751db599dp-5,0x1.6d058f244fbc1p-5,4.45583148707480239e-02
1,1,0x0p+0,0x1.2aa7751db599dp-5,0x1.2aa7751db599dp-5,3.64568030760665587e-02
1,2,0x0p+0,0x1.2aa7751db599dp-5,0x1.2aa7751db599dp-5,3.64568030760665587e-02
1,3,0x0p+0,0x1.2aa7751db599dp-5,0x1.2aa7751db599dp-5,3.64568030760665587e-02
1,4,0x0p+0,0x1.2aa7751db599dp-5,0x1.2aa7751db599dp-5,3.64568030760665587e-02
1,5,0x0p+0,0x1.2aa7751db599dp-5,0x1.2aa7751db599dp-5,3.64568030760665587e-02
1,6,0x0p+0,0x1.2aa7751db599dp-5,0x1.2aa7751db599dp-5,3.64568030760665587e-02
1,7,0x0p+0,0x1.2aa7751db599dp-5,0x1.2aa7751db599dp-5,3.64568030760665587e-02
1,8,0x0p+0,0x1.2aa7751db599dp-5,0x1.2aa7751db599dp-5,3.64568030760665587e-02
2,0,0x1.0b620ba15d448p-6,0x1.10cde1520fd1cp-3,0x1.323a22c63b7a6p-3,1.49524947809763720e-01
2,1,0x1.1537c0d9392cbp-13,0x1.10cde1520fd1cp-3,0x1.11132f4246202p-3,1.33337372980136648e-01
2,2,0x1.1d799988986dp-21,0x1.10cde1520fd1cp-3,0x1.10ce28b07633fp-3,1.33205716977295524e-01
2,3,0x0p+0,0x1.10cde1520fd1cp-3,0x1.10cde1520fd1cp-3,1.33205185238673418e-01
2,4,0x0p+0,0x1.10cde1520fd1cp-3,0x1.10cde1520fd1cp-3,1.33205185238673418e-01
2,5,0x0p+0,0x1.10cde1520fd1cp-3,0x1.10cde1520fd1cp-3,1.33205185238673418e-01
2,6,0x0p+0,0x1.10cde1520fd1cp-3,0x1.10cde1520fd1cp-3,1.33205185238673418e-01
2,7,0x0p+0,0x1.10cde1520fd1cp-3,0x1.10cde1520fd1cp-3,1.33205185238673418e-01
2,8,0x0p+0,0x1.10cde1520fd1cp-3,0x1.10cde1520fd1cp-3,1.33205185238673418e-01
3,0,0x1.9108fa7436775p-6,0x1.81f83a5bff20ap-2,0x1.9b08ca0342882p-2,4.01400715302436706e-01
3,1,0x1.a29027ae8bad5p-12,0x1.81f83a5bff20ap-2,0x1.8260de65eac3ap-2,3.77322649927637976e-01
3,2,0x1.46750c67782a1p-18,0x1.81f83a5bff20ap-2,0x1.81f980d10b883p-2,3.76928341635796638e-01
3,3,0x1.7843f5d66dd35p-25,0x1.81f83a5bff20ap-2,0x1.81f83d4c870c6p-2,3.76923520847196492e-01
3,4,0x1.3716b60d76fe3p-32,0x1.81f83a5bff20ap-2,0x1.81f83a60db7b9p-2,3.76923477327064271e-01
3,5,0x1.4100684bad49ep-40,0x1.81f83a5bff20ap-2,0x1.81f83a5c0424bp-2,3.76923477045271127e-01
3,6,0x1.4a1ecc14ba0f9p-49,0x1.81f83a5bff20ap-2,0x1.81f83a5bff234p-2,3.76923477044132982e-01
3,7,0x0p+0,0x1.81f83a5bff20ap-2,0x1.81f83a5bff20ap-2,3.76923477044130650e-01
3,8,0x0p+0,0x1.81f83a5bff20ap-2,0x1.81f83a5bff20ap-2,3.76923477044130650e-01
4,0,0x1.94d6b5277ae5cp-6,0x1.f447dd0e5b735p-1,0x1.0077495bcba55p+0,1.00182016841030941e+00
4,1,0x1.5de1590c61443p-11,0x1.f447dd0e5b735p-1,0x1.f49f55649e8bbp-1,9.77778118641502103e-01
4,2,0x1.dc00534fd8a83p-17,0x1.f447dd0e5b735p-1,0x1.f449b90eaec34p-1,9.77124960939710352e-01
4,3,0x1.18f92cd23f558p-22,0x1.f447dd0e5b735p-1,0x1.f447e5d624d9fp-1,9.77111036673182443e-01
4,4,0x1.17f627affbbc9p-28,0x1.f447dd0e5b735p-1,0x1.f447dd315a385p-1,9.77110779070344493e-01
4,5,0x1.dc1c5bcd8de11p-35,0x1.f447dd0e5b735p-1,0x1.f447dd0ed27a7p-1,9.77110775050495373e-01
4,6,0x1.5725fbe08e5bep-41,0x1.f447dd0e5b735p-1,0x1.f447dd0e5cca8p-1,9.77110774996977405e-01
4,7,0x1.9b83225f95285p-48,0x1.f447dd0e5b735p-1,0x1.f447dd0e5b769p-1,9.77110774996373554e-01
4,8,0x0p+0,0x1.f447dd0e5b735p-1,0x1.f447dd0e5b735p-1,9.77110774996367781e-01
