height,threshold,known_upper_hex,unknown_moment_hex,total_upper_hex,total_upper_decimal
1,0,0x1.19b531acaa034p-6,0x1.5dafae4c68635p-70,0x1.19b531acaa035p-6,1.71940789320219230e-02
1,1,0x1.5aa857f5afefcp-8,0x1.5dafae4c68635p-70,0x1.5aa857f5afefdp-8,5.28957507566451841e-03
1,2,0x1.85b2e5b6238acp-10,0x1.5dafae4c68635p-70,0x1.85b2e5b6238adp-10,1.48658301398855585e-03
1,3,0x1.92c0af6fcdb0ep-12,0x1.5dafae4c68635p-70,0x1.92c0af6fcdb0fp-12,3.84094883873074259e-04
1,4,0x1.80dc54a16ede1p-14,0x1.5dafae4c68635p-70,0x1.80dc54a16ede2p-14,9.17579332257372025e-05
1,5,0x1.55c615e5c3e5ep-16,0x1.5dafae4c68635p-70,0x1.55c615e5c3e5fp-16,2.03713042515304726e-05
1,6,0x1.1b59ccee59515p-18,0x1.5dafae4c68635p-70,0x1.1b59ccee59517p-18,4.22225569560632409e-06
1,7,0x1.b86ad1e1b0fffp-21,0x1.5dafae4c68635p-70,0x1.b86ad1e1b100ap-21,8.20341082362776119e-07
1,8,0x1.4206ba264e645p-23,0x1.5dafae4c68635p-70,0x1.4206ba264e671p-23,1.49955171122214129e-07
1,9,0x1.bc877468472d4p-26,0x1.5dafae4c68635p-70,0x1.bc87746847432p-26,2.58750002822493164e-08
1,10,0x1.227ce9238d8d6p-28,0x1.5dafae4c68635p-70,0x1.227ce9238de4dp-28,4.22715576739649048e-09
1,11,0x1.686c143fa8d72p-31,0x1.5dafae4c68635p-70,0x1.686c143fab928p-31,6.55604133445778920e-10
1,12,0x1.a9970f2c1c509p-34,0x1.5dafae4c68635p-70,0x1.a9970f2c322b9p-34,9.67679796454198049e-11
1,13,0x1.df57c65055721p-37,0x1.5dafae4c68635p-70,0x1.df57c6510449fp-37,1.36237437635375378e-11
1,14,0x1.02036f1465379p-39,0x1.5dafae4c68635p-70,0x1.02036f172096fp-39,1.83329556942681382e-12
1,15,0x1.09fd299d17301p-42,0x1.5dafae4c68635p-70,0x1.09fd29b2f22bp-42,2.36245616426311551e-13
1,16,0x1.070d05dca1757p-45,0x1.5dafae4c68635p-70,0x1.070d068b794cap-45,2.92045144862942637e-14
1,17,0x1.f3ec539783ed4p-49,0x1.5dafae4c68635p-70,0x1.f3ec5e85015fbp-49,3.46891485851423187e-15
1,18,0x1.c922b1b67162ap-52,0x1.5dafae4c68635p-70,0x1.c92309225cf5cp-52,3.96503019763856148e-16
1,19,0x1.92cee9e65aca3p-55,0x1.5dafae4c68635p-70,0x1.92d1a545b7631p-55,4.36737156970388819e-17
1,20,0x1.56768884a2b51p-58,0x1.5dafae4c68635p-70,0x1.568c637f877bap-58,4.64239640140145896e-18
1,21,0x1.1931eae8308c2p-61,0x1.5dafae4c68635p-70,0x1.19e0c2bf56c06p-61,4.77519858117364250e-19
1,22,0x1.bd9201ea845d3p-65,0x1.5dafae4c68635p-70,0x1.c87f7f5ce7a05p-65,4.83336097282698944e-20
1,23,0x1.4f8eb95b6bed7p-68,0x1.5dafae4c68635p-70,0x1.a6faa4ee86065p-68,5.59808150072731953e-21
1,24,0x1.a7dcb43d95cd9p-72,0x1.5dafae4c68635p-70,0x1.c7a6db5bcdd6cp-70,1.50762528933992546e-21
