states=3737581 bytes=59801296 mode=next threads=4
h=1 mean<=0.01719407893 unknown_m<=4.675386137e-156 H186<=4.675386137e-156 seconds=0.019160645
h=2 mean<=0.03547115925 unknown_m<=1.424607063e-155 H186<=1.424607063e-155 seconds=0.019376589
h=3 mean<=0.05495425406 unknown_m<=3.383007026e-155 H186<=3.463299171e-155 seconds=0.035973623
h=4 mean<=0.05976609595 unknown_m<=7.38893284e-155 H186<=5.147530223e-132 seconds=0.507275225
h=5 mean<=0.06405001526 unknown_m<=1.557846461e-154 H186<=4.470585211e-120 seconds=0.594879021
h=6 mean<=0.06766174243 unknown_m<=3.231332397e-154 H186<=8.309486193e-113 seconds=0.568320548
h=7 mean<=0.06936395586 unknown_m<=6.64953162e-154 H186<=1.61382755e-107 seconds=0.582709429
h=8 mean<=0.07076706808 unknown_m<=1.377147707e-153 H186<=1.811927222e-103 seconds=0.607182752
h=9 mean<=0.07186140888 unknown_m<=4.274729337e-150 H186<=3.035263254e-100 seconds=0.576926502
h=10 mean<=0.07254567664 unknown_m<=1.104780579e-145 H186<=1.286642382e-97 seconds=0.598783043
h=11 mean<=0.07309277317 unknown_m<=4.749597999e-142 H186<=1.968989196e-95 seconds=0.562757788
h=12 mean<=0.07351425292 unknown_m<=5.283835713e-139 H186<=1.376322451e-93 seconds=0.572985947
h=13 mean<=0.07381455168 unknown_m<=2.05486722e-136 H186<=5.200786911e-92 seconds=0.588054102
h=14 mean<=0.07405286778 unknown_m<=3.48269892e-134 H186<=1.201589413e-90 seconds=0.552936633
h=15 mean<=0.07423823065 unknown_m<=3.022713609e-132 H186<=1.859556279e-89 seconds=0.549143258
h=16 mean<=0.07437891042 unknown_m<=1.518714447e-130 H186<=2.06874764e-88 seconds=0.572548988
h=17 mean<=0.07449089358 unknown_m<=4.855124577e-129 H186<=1.746740138e-87 seconds=0.572431757
h=18 mean<=0.07457922932 unknown_m<=1.063171516e-127 H186<=1.168772778e-86 seconds=0.574302297
h=19 mean<=0.07464851914 unknown_m<=1.691427998e-126 H186<=6.415519712e-86 seconds=0.578803144
h=20 mean<=0.07470406261 unknown_m<=2.049437385e-125 H186<=2.970671957e-85 seconds=0.590950076
h=21 mean<=0.07474845025 unknown_m<=1.965585277e-124 H186<=1.187398983e-84 seconds=0.570143805
h=22 mean<=0.07478393837 unknown_m<=1.540371325e-123 H186<=4.175444552e-84 seconds=0.585448946
h=23 mean<=0.0748126106 unknown_m<=1.012728773e-122 H186<=1.312393809e-83 seconds=0.596171754
h=24 mean<=0.07483577165 unknown_m<=5.711671039e-122 H186<=3.736754883e-83 seconds=0.589503622
