states=3737581 bytes=59801296 mode=up threads=4
h=1 mean<=0.01719407894 unknown_m<=4.675386137e-156 H186<=4.675386137e-156 seconds=0.01799863901
h=2 mean<=0.03547115925 unknown_m<=1.424607064e-155 H186<=1.424607064e-155 seconds=0.02256519801
h=3 mean<=0.05495425406 unknown_m<=3.383007026e-155 H186<=3.463299171e-155 seconds=0.02006941801
h=4 mean<=0.05976609596 unknown_m<=7.38893284e-155 H186<=5.147530224e-132 seconds=0.08633314501
h=5 mean<=0.06405001527 unknown_m<=1.557846461e-154 H186<=4.470585211e-120 seconds=0.09005938201
h=6 mean<=0.06766174244 unknown_m<=3.231332398e-154 H186<=8.309486194e-113 seconds=0.09005596601
h=7 mean<=0.06936395587 unknown_m<=6.64953162e-154 H186<=1.61382755e-107 seconds=0.08898180001
h=8 mean<=0.07076706808 unknown_m<=1.377147707e-153 H186<=1.811927222e-103 seconds=0.08110054401
h=9 mean<=0.07186140888 unknown_m<=4.274729337e-150 H186<=3.035263255e-100 seconds=0.07972783601
h=10 mean<=0.07254567665 unknown_m<=1.104780579e-145 H186<=1.286642382e-97 seconds=0.08180547301
h=11 mean<=0.07309277317 unknown_m<=4.749598e-142 H186<=1.968989197e-95 seconds=0.07719863701
h=12 mean<=0.07351425292 unknown_m<=5.283835713e-139 H186<=1.376322451e-93 seconds=0.07710678501
h=13 mean<=0.07381455168 unknown_m<=2.054867221e-136 H186<=5.200786911e-92 seconds=0.08504986101
h=14 mean<=0.07405286779 unknown_m<=3.482698921e-134 H186<=1.201589414e-90 seconds=0.08394616901
h=15 mean<=0.07423823065 unknown_m<=3.022713609e-132 H186<=1.859556279e-89 seconds=0.08189140801
h=16 mean<=0.07437891042 unknown_m<=1.518714447e-130 H186<=2.06874764e-88 seconds=0.08610654901
h=17 mean<=0.07449089357 unknown_m<=4.855124577e-129 H186<=1.746740139e-87 seconds=0.08904278001
h=18 mean<=0.0745792293 unknown_m<=1.063171516e-127 H186<=1.168772778e-86 seconds=0.08182269701
h=19 mean<=0.07464851909 unknown_m<=1.691427997e-126 H186<=6.415519708e-86 seconds=0.08847722601
h=20 mean<=0.0747040625 unknown_m<=2.049437383e-125 H186<=2.970671954e-85 seconds=0.08486380801
h=21 mean<=0.07474845004 unknown_m<=1.965585273e-124 H186<=1.18739898e-84 seconds=0.08302974901
h=22 mean<=0.07478393794 unknown_m<=1.540371318e-123 H186<=4.175444528e-84 seconds=0.08153626801
h=23 mean<=0.07481260973 unknown_m<=1.012728763e-122 H186<=1.312393794e-83 seconds=0.08508790301
h=24 mean<=0.07483576991 unknown_m<=5.711670934e-122 H186<=3.736754796e-83 seconds=0.07617507001
