height,mass_upper_hex,mean_upper_hex,unknown_prob_hex,unknown_moment_hex,exit_prob_hex,exit_moment_hex,seconds
1,0x1.000000000006ep+0,0x1.19b531acaa0a2p-6,0x1.fd7482f26fa9bp-524,0x1.00c3bf5947e86p-516,0x0p+0,0x0p+0,0.0179987
2,0x1.0000000000112p+0,0x1.2294699d4d6e5p-5,0x1.7e176235d3bf6p-522,0x1.872f817a92e88p-515,0x0.0000000000053p-1022,0x0.0000000000053p-1022,0.0225652
3,0x1.000000000011dp+0,0x1.c22f6c7e2b42dp-5,0x1.bdc5f29421b4bp-521,0x1.d07921f385dbep-514,0x1.f0c70a9ddd92cp-872,0x1.10b60efe735c1p-863,0.0200695
4,0x1.000000000013dp+0,0x1.e99a9670aa87ap-5,0x1.dd9d3ac348af6p-520,0x1.fb3c3be10f4a4p-513,0x1.9b93c2d93aea3p-711,0x1.c3fb4c3c5316ap-703,0.0863332
5,0x1.0000000000176p+0,0x1.06594f0dce829p-4,0x1.ed88dedadc2ccp-519,0x1.0b5b865528916p-511,0x1.68e2267590a56p-623,0x1.8c6e31c40b889p-615,0.0900594
6,0x1.00000000001fp+0,0x1.15247aaf237dbp-4,0x1.f57eb0e6a5eb8p-518,0x1.1547d15eabc6ep-510,0x1.168dcdd281f68p-577,0x1.320dc82bd5b26p-569,0.090056
7,0x1.00000000002e4p+0,0x1.1c1d611f29d14p-4,0x1.f97999f5d7765p-517,0x1.1d4c4d74edebap-509,0x1.29956d12d358ep-546,0x1.4702c6cae67e4p-538,0.0889819
8,0x1.00000000004c8p+0,0x1.21dca63093846p-4,0x1.fe4223c3584eap-516,0x1.276eb90c44c65p-508,0x1.658aa547344c2p-523,0x1.88f24747bbfb4p-515,0.0811006
9,0x1.0000000000893p+0,0x1.2658260f71ba5p-4,0x1.979d7d293eabbp-505,0x1.bfc57ff30d05p-497,0x1.971dacf1bd774p-505,0x1.bf79fc6ab1fdcp-497,0.0797279
10,0x1.0000000001025p+0,0x1.2925a7ca4a363p-4,0x1.41476469f02e2p-490,0x1.612975908bb89p-482,0x1.414105f37c2cp-490,0x1.612262e9befd1p-482,0.0818055
11,0x1.0000000001f51p+0,0x1.2b6353e527a2p-4,0x1.512f20061ef08p-478,0x1.72ad1fd0839a5p-470,0x1.5106f71991aa8p-478,0x1.72807f3d35b25p-470,0.0771987
12,0x1.0000000003da2p+0,0x1.2d1d480137223p-4,0x1.6e49db4d3241dp-468,0x1.92b48a5cd205dp-460,0x1.6da143bd2f325p-468,0x1.91f92db392c9cp-460,0.0771068
13,0x1.0000000007a46p+0,0x1.2e582ad6ece99p-4,0x1.16314a3e40a1fp-459,0x1.31e167a4d02aap-451,0x1.14c30062f36fap-459,0x1.304a4d4f75ad2p-451,0.0850499
14,0x1.000000000f391p+0,0x1.2f520f54a55f8p-4,0x1.704f24fc89affp-452,0x1.9504860cf4c7ep-444,0x1.6bf65fd390ad6p-452,0x1.902fa3fb6957p-444,0.0839462
15,0x1.000000001e628p+0,0x1.30146d4bef896p-4,0x1.f3637abffb57bp-446,0x1.12a0cf48dd822p-437,0x1.e7e10198170a3p-446,0x1.0c3b0c61fecccp-437,0.0818915
16,0x1.000000003cb54p+0,0x1.30a7f0bbb9d86p-4,0x1.87f4a175a26dcp-440,0x1.af320c0dad155p-432,0x1.7859859fa293p-440,0x1.9dd8052e9fde1p-432,0.0861066
17,0x1.00000000795aap+0,0x1.311d5cfb737cdp-4,0x1.8773e68bb96c4p-435,0x1.aec5e46d6eecap-427,0x1.6ef49c745f456p-435,0x1.9387735aad27p-427,0.0890428
18,0x1.00000000f2a57p+0,0x1.3179fd6c8389cp-4,0x1.0bc5ac58dddf9p-430,0x1.26c847b1bd3acp-422,0x1.e69cdbe044919p-431,0x1.0b90b121b01d7p-422,0.0818227
19,0x1.00000001e53aep+0,0x1.31c2a542c74bap-4,0x1.0a20b41d4fa9dp-426,0x1.251c569d2dfbcp-418,0x1.d14ffd2467dbbp-427,0x1.ffb8c8f43aa19p-419,0.0884773
20,0x1.00000003ca663p+0,0x1.31fce314c9149p-4,0x1.92d74a3606675p-423,0x1.bbf04227c58d1p-415,0x1.504f1d2eb27cdp-423,0x1.71dc9c8c2762bp-415,0.0848639
21,0x1.0000000794bc7p+0,0x1.322b6e4516ddap-4,0x1.e29f4aae40376p-420,0x1.0a1bfbe407d86p-411,0x1.7de97820be9d8p-420,0x1.a4063fc4b3147p-412,0.0830298
22,0x1.0000000f2969p+0,0x1.3250a47b420aap-4,0x1.d865a5753a36ep-417,0x1.04ad737a692bp-408,0x1.5fbdd2c9aa29p-417,0x1.82d9ecb9ac177p-409,0.0815363
23,0x1.0000001e52c23p+0,0x1.326eb5016843ep-4,0x1.83dead4f16a38p-414,0x1.ac76077decdcp-406,0x1.0dc543f1c815cp-414,0x1.28b42c8b64213p-406,0.085088
24,0x1.0000003ca5747p+0,0x1.3286fe04de6ecp-4,0x1.1127317a13b55p-411,0x1.2e0f092051665p-403,0x1.605f0c4c9c18cp-412,0x1.838ebe3e7d0ffp-404,0.0761751
