height,mass_upper_hex,mean_upper_hex,unknown_prob_hex,unknown_moment_hex,exit_prob_hex,exit_moment_hex,seconds
1,0x1.0000000000072p+0,0x1.8bd61e7a410dap-6,0x1.1a1225997d3ddp-650,0x1.1c4cdfe2c941bp-643,0x0p+0,0x0p+0,0.0104547
2,0x1.0000000000111p+0,0x1.a180a3f99c16ep-5,0x1.a71b38663bdcdp-649,0x1.addcc8a3c69bep-642,0x0.000000000005cp-1022,0x0.000000000005cp-1022,0.0091172
3,0x1.0000000000118p+0,0x1.4b715a3970842p-4,0x1.ed9fc1cc9b2c6p-648,0x1.fa1ed2ef4b6cfp-641,0x0.0000000001f65p-1022,0x0.000000026225fp-1022,0.00993248
4,0x1.0000000000129p+0,0x1.7f03967299e23p-4,0x1.0871033fe56a2p-646,0x1.11e64d64066aap-639,0x1.ab2618581d8bfp-884,0x1.d4fae1fd5ad1dp-876,0.062072
5,0x1.000000000014dp+0,0x1.b241b07c289c5p-4,0x1.1141946cb1542p-645,0x1.1e16c81023e47p-638,0x1.07c30ea32844dp-752,0x1.21a6a4a6e2055p-744,0.0545695
6,0x1.0000000000196p+0,0x1.e3febabf14a4bp-4,0x1.15a9dd0415c48p-644,0x1.25f78fb3be06ap-637,0x1.fcf6b510343f2p-677,0x1.1783eb0a7d23p-668,0.055006
7,0x1.000000000022bp+0,0x1.043010e6d7b56p-3,0x1.fa9899c8dab5ep-625,0x1.16421bb5d34c6p-616,0x1.fa9853d15a62p-625,0x1.164208fa9649ep-616,0.0567686
8,0x1.0000000000353p+0,0x1.160ed66a278ecp-3,0x1.83cfc7ac5f0bp-584,0x1.aa16966a45ddep-576,0x1.83cfc7ac5d106p-584,0x1.aa16966a43ae2p-576,0.0569119
9,0x1.00000000005a8p+0,0x1.2768ca8e8e70dp-3,0x1.b28726e4cf425p-551,0x1.dd7abca3589cbp-543,0x1.b28726e34b728p-551,0x1.dd7abca1ac0bbp-543,0.0561342
10,0x1.0000000000a5p+0,0x1.37286c569cacep-3,0x1.b807a25e03d9bp-523,0x1.e3963c5ae124ap-515,0x1.b807a227b2f4dp-523,0x1.e3963c1ed87ep-515,0.0644213
11,0x1.000000000139fp+0,0x1.47044c2458647p-3,0x1.035b80290aa4cp-498,0x1.1d10bab54df0dp-490,0x1.035b7e7103026p-498,0x1.1d10b8cee0ce2p-490,0.0620639
12,0x1.000000000264p+0,0x1.5703ef39d9f4p-3,0x1.50fc23b8b29dcp-477,0x1.726e78b8a92dfp-469,0x1.50fc1382fa9b2p-477,0x1.726e66ccb6522p-469,0.0625161
13,0x1.0000000004b82p+0,0x1.670b85c14a2e6p-3,0x1.7b4d5160d5c9ap-458,0x1.a0ff5009073f3p-450,0x1.7b4cfd21ccdb7p-458,0x1.a0fef2e0ee4b9p-450,0.0627665
14,0x1.0000000009607p+0,0x1.77c716d2d954ap-3,0x1.ff2e8931d05aep-441,0x1.190622fc9244fp-432,0x1.ff2d0de47efap-441,0x1.1905513f309b6p-432,0.0629657
15,0x1.0000000012b13p+0,0x1.89656b2f37c98p-3,0x1.0806f6a575fc6p-424,0x1.225537582c672p-416,0x1.0804f776ecca8p-424,0x1.225301ef55497p-416,0.0656103
16,0x1.0000000025529p+0,0x1.9c1ac823a650fp-3,0x1.f92d7ebf808e7p-410,0x1.15c95f562fac1p-401,0x1.f9253e87cb62cp-410,0x1.15c4cf064ade8p-401,0.0623898
17,0x1.000000004a958p+0,0x1.b0649beda3fcdp-3,0x1.03ead4f4bad05p-395,0x1.1de1071a7db14p-387,0x1.03e2f03ebfd24p-395,0x1.1dd84b61d4fe7p-387,0.0609435
18,0x1.00000000951b4p+0,0x1.c6a58a622049dp-3,0x1.44eab019abc25p-382,0x1.65699f4fcf7e9p-374,0x1.44da716c5c76ap-382,0x1.6557a5735504fp-374,0.0626264
19,0x1.000000012a26fp+0,0x1.df59e707eb199p-3,0x1.10c398736b999p-369,0x1.2c146728366fp-361,0x1.10af49c869fedp-369,0x1.2bfded962c513p-361,0.0687229
20,0x1.00000002543e3p+0,0x1.fb331e88380e9p-3,0x1.4eef9c7390b7ep-357,0x1.7085dd1f30cb4p-349,0x1.4ecd8400824a6p-357,0x1.70601f72a81d2p-349,0.0700523
21,0x1.00000004a86cep+0,0x1.0d7f9c4cc42ap-2,0x1.43f2cdfb5d217p-345,0x1.647a8da5a2d17p-337,0x1.43c8f007ceaf5p-345,0x1.644c33beb3e38p-337,0.0720238
22,0x1.0000000950ca4p+0,0x1.1fe5cc0dafcbcp-2,0x1.07a0970849d11p-333,0x1.222375795b9bap-325,0x1.077818ae8a656p-333,0x1.21f69ec1e35abp-325,0.0614787
23,0x1.00000012a1852p+0,0x1.35816f948ca44p-2,0x1.7f85fa05c4254p-322,0x1.a6266a9ef57b8p-314,0x1.7f4411e00212cp-322,0x1.a5dd6c5dc39fcp-314,0.0644861
24,0x1.0000002542fbp+0,0x1.4f414fda67e2cp-2,0x1.07f1e3dcc3f7cp-310,0x1.22921647f2221p-302,0x1.07c1f31d833f3p-310,0x1.225cfb140a5e9p-302,0.0628914
25,0x1.0000004a85e6cp+0,0x1.6e6ba2b0e6af6p-2,0x1.6b2677561a018p-299,0x1.8fd87f88ac349p-291,0x1.6ae47add22d08p-299,0x1.8f8f626dd6c66p-291,0.0750149
26,0x1.000000950bbe5p+0,0x1.94c6e92846774p-2,0x1.07bf9207291b1p-287,0x1.2272af1db8283p-279,0x1.07922d383e57cp-287,0x1.22405fb8433ebp-279,0.0729029
