states=3737581 bytes=59801296 mode=next threads=4
h=1 mean<=0.02415993668 unknown_m<=3.042636896e-194 H186<=3.042636896e-194 seconds=0.016300445
h=2 mean<=0.0509646609 unknown_m<=9.200942453e-194 H186<=9.200942453e-194 seconds=0.021866417
h=3 mean<=0.08091864818 unknown_m<=2.166639527e-193 H186<=2.190214037e-193 seconds=0.035638961
h=4 mean<=0.09350928086 unknown_m<=4.690123002e-193 H186<=9.760948373e-162 seconds=0.681697254
h=5 mean<=0.1060196775 unknown_m<=9.797695678e-193 H186<=3.433521115e-142 seconds=0.833293604
h=6 mean<=0.1181628508 unknown_m<=2.013499059e-192 H186<=3.734035252e-130 seconds=0.790266121
h=7 mean<=0.1270448037 unknown_m<=3.996968561e-186 H186<=3.995436365e-121 seconds=0.73724095
h=8 mean<=0.1357704879 unknown_m<=6.729488768e-174 H186<=6.968683655e-114 seconds=0.74981469
h=9 mean<=0.1442428422 unknown_m<=6.477792999e-164 H186<=7.467913961e-108 seconds=0.745161025
h=10 mean<=0.1519325699 unknown_m<=1.761111115e-155 H186<=1.094150995e-102 seconds=0.881002628
h=11 mean<=0.1596761654 unknown_m<=3.483426002e-148 H186<=3.604621447e-98 seconds=0.716778864
h=12 mean<=0.1674879732 unknown_m<=9.492924202e-142 H186<=3.807654577e-94 seconds=0.72259541
h=13 mean<=0.1753149461 unknown_m<=5.602672599e-136 H186<=1.651813809e-90 seconds=0.672622447
h=14 mean<=0.1834852012 unknown_m<=9.897950434e-131 H186<=3.542611921e-87 seconds=0.709923548
h=15 mean<=0.1920879721 unknown_m<=6.701593085e-126 H186<=4.328231746e-84 seconds=0.708103872
h=16 mean<=0.2012229572 unknown_m<=2.10108239e-121 H186<=3.362429031e-81 seconds=0.694532094
h=17 mean<=0.2111293966 unknown_m<=3.542696835e-117 H186<=1.815225934e-78 seconds=0.748427947
h=18 mean<=0.2219954311 unknown_m<=3.628369433e-113 H186<=7.322562909e-76 seconds=0.698164818
h=19 mean<=0.2340581942 unknown_m<=2.495561148e-109 H186<=2.345817604e-73 seconds=0.693616103
h=20 mean<=0.2476560963 unknown_m<=1.255324586e-105 H186<=6.289746481e-71 seconds=0.662395853
h=21 mean<=0.2631821086 unknown_m<=4.973763275e-102 H186<=1.478244069e-68 seconds=0.696542479
h=22 mean<=0.281150045 unknown_m<=1.658123307e-98 H186<=3.175457147e-66 seconds=0.67608877
h=23 mean<=0.3022515736 unknown_m<=4.940924978e-95 H186<=6.482306196e-64 seconds=0.695803847
h=24 mean<=0.3273975882 unknown_m<=1.393006362e-91 H186<=1.305216167e-61 seconds=0.724022501
h=25 mean<=0.3578324838 unknown_m<=3.925759917e-88 H186<=2.688867612e-59 seconds=0.718978176
h=26 mean<=0.3952900607 unknown_m<=1.168045177e-84 H186<=5.881170845e-57 seconds=0.730651468
h=27 mean<=0.4422205981 unknown_m<=3.879594671e-81 H186<=1.419121913e-54 seconds=0.678408755
h=28 mean<=0.5021755552 unknown_m<=1.524858506e-77 H186<=3.934552058e-52 seconds=0.698594851
h=29 mean<=0.5804292841 unknown_m<=7.548118728e-74 H186<=1.309723983e-49 seconds=0.731731178
h=30 mean<=0.685022551 unknown_m<=5.035178671e-70 H186<=5.493239293e-47 seconds=0.707859461
h=31 mean<=0.8285917839 unknown_m<=4.876859688e-66 H186<=3.0626206e-44 seconds=0.743363765
