states=3737581 bytes=59801296 mode=up threads=4
h=1 mean<=0.02415993668 unknown_m<=3.042636896e-194 H186<=3.042636896e-194 seconds=0.01045463401
h=2 mean<=0.0509646609 unknown_m<=9.200942453e-194 H186<=9.200942453e-194 seconds=0.009117190001
h=3 mean<=0.08091864819 unknown_m<=2.166639528e-193 H186<=2.190214038e-193 seconds=0.009932476001
h=4 mean<=0.09350928086 unknown_m<=4.690123003e-193 H186<=9.760948373e-162 seconds=0.06207196901
h=5 mean<=0.1060196776 unknown_m<=9.797695679e-193 H186<=3.433521115e-142 seconds=0.05456947901
h=6 mean<=0.1181628509 unknown_m<=2.013499059e-192 H186<=3.734035252e-130 seconds=0.05500595001
h=7 mean<=0.1270448037 unknown_m<=3.996968562e-186 H186<=3.995436366e-121 seconds=0.05676859901
h=8 mean<=0.1357704879 unknown_m<=6.729488769e-174 H186<=6.968683656e-114 seconds=0.05691189301
h=9 mean<=0.1442428422 unknown_m<=6.477792999e-164 H186<=7.467913961e-108 seconds=0.05613419701
h=10 mean<=0.1519325699 unknown_m<=1.761111115e-155 H186<=1.094150996e-102 seconds=0.06442120301
h=11 mean<=0.1596761655 unknown_m<=3.483426002e-148 H186<=3.604621447e-98 seconds=0.06206384801
h=12 mean<=0.1674879732 unknown_m<=9.492924202e-142 H186<=3.807654578e-94 seconds=0.06251603201
h=13 mean<=0.1753149462 unknown_m<=5.602672599e-136 H186<=1.651813809e-90 seconds=0.06276640501
h=14 mean<=0.1834852012 unknown_m<=9.897950435e-131 H186<=3.542611921e-87 seconds=0.06296565301
h=15 mean<=0.1920879721 unknown_m<=6.701593085e-126 H186<=4.328231747e-84 seconds=0.06561021701
h=16 mean<=0.2012229573 unknown_m<=2.101082391e-121 H186<=3.362429031e-81 seconds=0.06238975901
h=17 mean<=0.2111293967 unknown_m<=3.542696835e-117 H186<=1.815225934e-78 seconds=0.06094345601
h=18 mean<=0.2219954311 unknown_m<=3.628369433e-113 H186<=7.322562908e-76 seconds=0.06262634601
h=19 mean<=0.2340581941 unknown_m<=2.495561148e-109 H186<=2.345817603e-73 seconds=0.06872285101
h=20 mean<=0.2476560961 unknown_m<=1.255324585e-105 H186<=6.289746475e-71 seconds=0.07005223301
h=21 mean<=0.2631821082 unknown_m<=4.973763265e-102 H186<=1.478244066e-68 seconds=0.07202373401
h=22 mean<=0.2811500439 unknown_m<=1.658123301e-98 H186<=3.175457135e-66 seconds=0.06147861501
h=23 mean<=0.3022515712 unknown_m<=4.940924937e-95 H186<=6.482306143e-64 seconds=0.06448606101
h=24 mean<=0.3273975828 unknown_m<=1.39300634e-91 H186<=1.305216145e-61 seconds=0.06289139301
h=25 mean<=0.3578324719 unknown_m<=3.925759787e-88 H186<=2.688867523e-59 seconds=0.07501484601
h=26 mean<=0.3952900344 unknown_m<=1.1680451e-84 H186<=5.881170454e-57 seconds=0.07290288601
h=27 mean<=0.4422205393 unknown_m<=3.879594155e-81 H186<=1.419121724e-54 seconds=0.07684039901
h=28 mean<=0.5021754216 unknown_m<=1.5248581e-77 H186<=3.934551012e-52 seconds=0.06564503001
h=29 mean<=0.5804289752 unknown_m<=7.548114711e-74 H186<=1.309723287e-49 seconds=0.07456348301
h=30 mean<=0.6850218218 unknown_m<=5.035173312e-70 H186<=5.493233445e-47 seconds=0.07589159301
h=31 mean<=0.8285900198 unknown_m<=4.876849306e-66 H186<=3.06261408e-44 seconds=0.07333198601
