height,threshold,known_upper_hex,unknown_moment_hex,total_upper_hex,total_upper_decimal
1,0,0x1.35223129c2541p+0,0x1.b6faabe5c8239p-3,0x1.6c0186a67b589p+0,1.42189828457353173e+00
1,1,0x1.532453e9f7827p-1,0x1.b6faabe5c8239p-3,0x1.c0e2fee3698b6p-1,8.76731839428223081e-01
1,2,0x1.4016c80237448p-2,0x1.b6faabe5c8239p-3,0x1.0dca0efa8dab3p-1,5.26932209096079851e-01
1,3,0x1.e7c130c66c993p-4,0x1.b6faabe5c8239p-3,0x1.556da2247f382p-2,3.33426030614468627e-01
1,4,0x1.e7c130c66c992p-6,0x1.b6faabe5c8239p-3,0x1.f3f2d1fe95b6cp-3,2.44115486699878814e-01
1,5,0x0p+0,0x1.b6faabe5c8239p-3,0x1.b6faabe5c8239p-3,2.14345305395015534e-01
1,6,0x0p+0,0x1.b6faabe5c8239p-3,0x1.b6faabe5c8239p-3,2.14345305395015534e-01
2,0,0x1.4afe48e4062bfp+1,0x1.2c4310b3b1babp+1,0x1.3ba0accbdbf36p+2,4.93168182285426404e+00
2,1,0x1.e0524a173b937p+0,0x1.2c4310b3b1babp+1,0x1.0e361adfa7c24p+2,4.22205230561579370e+00
2,2,0x1.3e56a888405e9p+0,0x1.2c4310b3b1babp+1,0x1.cb6e64f7d1ea1p+1,3.58930646992287494e+00
2,3,0x1.7368a81a6227fp-1,0x1.2c4310b3b1babp+1,0x1.891d3aba4a44cp+1,3.07120451065251210e+00
2,4,0x1.6167eee6025b1p-2,0x1.2c4310b3b1babp+1,0x1.58700e9072062p+1,2.69091970494268740e+00
2,5,0x1.b7284e1726611p-4,0x1.2c4310b3b1babp+1,0x1.39fc53246aeddp+1,2.45301284101684169e+00
2,6,0x0p+0,0x1.2c4310b3b1babp+1,0x1.2c4310b3b1babp+1,2.34579666875966586e+00
3,0,0x1.b2f4df5514244p+0,0x1.1e89df7e7dc55p+3,0x1.54e87b692049fp+3,1.06533791592831317e+01
3,1,0x1.46d42dcc94bafp+0,0x1.1e89df7e7dc55p+3,0x1.47646538105ccp+3,1.02310052962301583e+01
3,2,0x1.c4897770898dbp-1,0x1.1e89df7e7dc55p+3,0x1.3ad276f5865e4p+3,9.83819148973538660e+00
3,3,0x1.15af07070f03fp-1,0x1.1e89df7e7dc55p+3,0x1.2fe4cfeeeeb5ap+3,9.49668118158813357e+00
3,4,0x1.1751f556d8e1cp-2,0x1.1e89df7e7dc55p+3,0x1.27446f29348c7p+3,9.22710378692535294e+00
3,5,0x1.704859075aef9p-4,0x1.1e89df7e7dc55p+3,0x1.216a70308c7b4p+3,9.04424294931582295e+00
3,6,0x0p+0,0x1.1e89df7e7dc55p+3,0x1.1e89df7e7dc55p+3,8.95433020310717076e+00
