height,a,b,c,upper_hex
1,0,0,0,0x1.bbdf975b12a35p-2
1,1,0,0,0x1.901c7a02c5152p-3
1,2,0,0,0x1.4016c80237444p-3
1,3,0,0,0x1.aac90aad9f05cp-4
1,4,0,0,0x1.e7c130c66c99p-5
1,5,0,0,0x1.e7c130c66c992p-6
2,0,0,0,0x1.5513f07100e55p-5
2,0,1,0,0x1.33735353d58a5p-6
2,0,2,0,0x1.ebebb88622771p-7
2,0,3,0,0x1.47f27b0416fa2p-7
2,0,4,0,0x1.76cbfa4dd11dfp-8
2,0,5,0,0x1.76cbfa4dd11e1p-9
2,1,0,0,0x1.dc1b1a90c72a3p-5
2,1,1,0,0x1.ad2a75b160998p-6
2,1,2,0,0x1.57552af44d47dp-6
2,1,3,0,0x1.c9c6e3f0670a7p-7
2,1,4,0,0x1.0596391ba8986p-7
2,1,5,0,0x1.0596391ba8987p-8
2,2,0,0,0x1.2cccbcc1a22e9p-4
2,2,1,0,0x1.0f24b891b2a4ap-5
2,2,2,0,0x1.b1d45a82b76ep-6
2,2,3,0,0x1.21383c5724f41p-6
2,2,4,0,0x1.4a8969882a3bap-7
2,3,0,0,0x1.2e19cc0f7d516p-4
2,3,1,0,0x1.1050f1a1cb1a9p-5
2,3,2,0,0x1.b3b4b5cfab5dep-6
2,3,3,0,0x1.227879351ce95p-6
2,4,0,0,0x1.01eaec25a76b9p-4
2,4,1,0,0x1.d0fa73a53c404p-6
2,4,2,0,0x1.73fb8fb76366dp-6
2,5,0,0,0x1.82d83e01abd18p-5
2,5,1,0,0x1.5cb4800181a3bp-6
2,6,0,0,0x1.01673631cc25ep-5
3,0,0,0,0x1.ac7f013478f7cp-7
3,0,0,1,0x1.824001160f4bap-8
3,0,0,2,0x1.350000de72a3p-8
3,0,0,3,0x1.9c00012898d97p-9
3,0,0,4,0x1.d6db6f09d341cp-10
3,0,0,5,0x1.d6db6f09d341ep-11
3,0,1,0,0x1.2b10dd65e0e7ap-6
3,0,1,1,0x1.0d949c4d69612p-7
3,0,1,2,0x1.af542d48a89bap-8
3,0,1,3,0x1.1f8d7385c5bd2p-8
3,0,1,4,0x1.48a1a898e1fcdp-9
3,0,1,5,0x1.48a1a898e1fcfp-10
3,0,2,0,0x1.79e50afc9a0cbp-6
3,0,2,1,0x1.54a33190c48d5p-7
3,0,2,2,0x1.10828e0d6a0acp-7
3,0,2,3,0x1.6b58bd67380e7p-8
3,0,2,4,0x1.9f40d875f6ec1p-9
3,0,3,0,0x1.7b87774424c87p-6
3,0,3,1,0x1.561c5d15c3691p-7
3,0,3,2,0x1.11b04a77cf876p-7
3,0,3,3,0x1.6ceb0df514b49p-8
3,0,4,0,0x1.44059d84ce6b7p-6
3,0,4,1,0x1.24137bf5e8f13p-7
3,0,4,2,0x1.d3525fefdb1bbp-8
3,0,5,0,0x1.e5fe31e156142p-7
3,0,5,1,0x1.b61401b1e16c6p-8
3,0,6,0,0x1.436025a8a27bp-7
3,1,0,0,0x1.62bbfd81e2468p-8
3,1,0,1,0x1.3fc2b208e8cffp-9
3,1,0,2,0x1.ff9de9a7dae66p-10
3,1,0,3,0x1.5513f11a91ef1p-10
3,1,0,4,0x1.85cda5d539114p-11
3,1,0,5,0x1.85cda5d539116p-12
3,1,1,0,0x1.ef2b31573f56cp-8
3,1,1,1,0x1.be5969c5a1a87p-9
3,1,1,2,0x1.6514549e1aed6p-9
3,1,1,3,0x1.dc1b1b7d793c8p-10
3,1,1,4,0x1.100f7d6c45475p-10
3,1,2,0,0x1.38d7efebea911p-7
3,1,2,1,0x1.19fff181ba338p-8
3,1,2,2,0x1.c3331c02c385dp-9
3,1,2,3,0x1.2cccbd572d03fp-9
3,1,3,0,0x1.3a3255174fefdp-7
3,1,3,1,0x1.1b382fdb52df7p-8
3,1,3,2,0x1.c526b2f88498ep-9
3,1,4,0,0x1.0c3e949f84e3p-7
3,1,4,1,0x1.e3987bb705347p-9
3,1,5,0,0x1.9255674542021p-8
3,2,0,0,0x1.5b6fefcb4dd16p-8
3,2,0,1,0x1.392ed0f0f3377p-9
3,2,0,2,0x1.f517b4b4b858ep-10
3,2,0,3,0x1.4e0fcdcdd03b6p-10
3,2,0,4,0x1.7dc8eb345bb1ap-11
3,2,1,0,0x1.e4fb9a4f64edep-8
3,2,1,1,0x1.b52ae8d7cac0ep-9
3,2,1,2,0x1.5dbbed796f00fp-9
3,2,1,3,0x1.d24fe74c94014p-10
3,2,2,0,0x1.32687bc0e46d5p-7
3,2,2,1,0x1.1432ea24dc543p-8
3,2,2,2,0x1.b9eb103afa208p-9
3,2,3,0,0x1.33bbc0c8ad445p-7
3,2,3,1,0x1.1564bc3316c6bp-8
3,2,4,0,0x1.06b9fcfb18778p-7
3,3,0,0,0x1.032286f06ed1fp-8
3,3,0,1,0x1.d32c37c7171cfp-10
3,3,0,2,0x1.75bcf96c127dbp-10
3,3,0,3,0x1.f2514c9018a7bp-11
3,3,1,0,0x1.69b906bab7358p-8
3,3,1,1,0x1.460f58fed7a02p-9
3,3,1,2,0x1.04d913ff12e6ap-9
3,3,2,0,0x1.c911202e9d724p-8
3,3,2,1,0x1.9c0103c50fba1p-9
3,3,3,0,0x1.cb0b363ef1dap-8
3,4,0,0,0x1.1e2339c31717fp-9
3,4,0,1,0x1.01ed46186b5a3p-10
3,4,0,2,0x1.9caed68d78907p-11
3,4,1,0,0x1.8f6a5dac1c6dcp-9
3,4,1,1,0x1.6809580aeac0cp-10
3,4,2,0,0x1.f8b1df2863251p-9
3,5,0,0,0x1.e4a804b3e530cp-11
3,5,0,1,0x1.b4df90dbd9697p-12
3,5,1,0,0x1.52433390d6718p-10
3,6,0,0,0x1.481409d586f0dp-12
