height,a,b,c,upper_hex
1,0,0,0,0x1.bbdf975b12a2bp-2
1,1,0,0,0x1.901c7a02c5147p-3
1,2,0,0,0x1.4016c80237439p-3
1,3,0,0,0x1.aac90aad9f04cp-4
1,4,0,0,0x1.e7c130c66c97cp-5
1,5,0,0,0x1.e7c130c66c97cp-6
2,0,0,0,0x1.5513f07100e42p-5
2,0,1,0,0x1.33735353d5892p-6
2,0,2,0,0x1.ebebb8862274fp-7
2,0,3,0,0x1.47f27b0416f8ap-7
2,0,4,0,0x1.76cbfa4dd11c3p-8
2,0,5,0,0x1.76cbfa4dd11c3p-9
2,1,0,0,0x1.dc1b1a90c7286p-5
2,1,1,0,0x1.ad2a75b16097cp-6
2,1,2,0,0x1.57552af44d464p-6
2,1,3,0,0x1.c9c6e3f067085p-7
2,1,4,0,0x1.0596391ba8971p-7
2,1,5,0,0x1.0596391ba8971p-8
2,2,0,0,0x1.2cccbcc1a22d5p-4
2,2,1,0,0x1.0f24b891b2a37p-5
2,2,2,0,0x1.b1d45a82b76bep-6
2,2,3,0,0x1.21383c5724f29p-6
2,2,4,0,0x1.4a8969882a39dp-7
2,3,0,0,0x1.2e19cc0f7d4ffp-4
2,3,1,0,0x1.1050f1a1cb193p-5
2,3,2,0,0x1.b3b4b5cfab5b8p-6
2,3,3,0,0x1.227879351ce7bp-6
2,4,0,0,0x1.01eaec25a76a5p-4
2,4,1,0,0x1.d0fa73a53c3dep-6
2,4,2,0,0x1.73fb8fb76364bp-6
2,5,0,0,0x1.82d83e01abcf8p-5
2,5,1,0,0x1.5cb4800181a1dp-6
2,6,0,0,0x1.01673631cc248p-5
3,0,0,0,0x1.ac7f013478f41p-7
3,0,0,1,0x1.824001160f482p-8
3,0,0,2,0x1.350000de72a01p-8
3,0,0,3,0x1.9c00012898d57p-9
3,0,0,4,0x1.d6db6f09d33d2p-10
3,0,0,5,0x1.d6db6f09d33d2p-11
3,0,1,0,0x1.2b10dd65e0e5p-6
3,0,1,1,0x1.0d949c4d695eap-7
3,0,1,2,0x1.af542d48a8977p-8
3,0,1,3,0x1.1f8d7385c5ba4p-8
3,0,1,4,0x1.48a1a898e1f98p-9
3,0,1,5,0x1.48a1a898e1f98p-10
3,0,2,0,0x1.79e50afc9a092p-6
3,0,2,1,0x1.54a33190c48a1p-7
3,0,2,2,0x1.10828e0d6a081p-7
3,0,2,3,0x1.6b58bd67380abp-8
3,0,2,4,0x1.9f40d875f6e7bp-9
3,0,3,0,0x1.7b87774424c4ap-6
3,0,3,1,0x1.561c5d15c3659p-7
3,0,3,2,0x1.11b04a77cf847p-7
3,0,3,3,0x1.6ceb0df514b0ap-8
3,0,4,0,0x1.44059d84ce683p-6
3,0,4,1,0x1.24137bf5e8ee3p-7
3,0,4,2,0x1.d3525fefdb16ap-8
3,0,5,0,0x1.e5fe31e1560f2p-7
3,0,5,1,0x1.b61401b1e167dp-8
3,0,6,0,0x1.436025a8a277ap-7
3,1,0,0,0x1.62bbfd81e2433p-8
3,1,0,1,0x1.3fc2b208e8cccp-9
3,1,0,2,0x1.ff9de9a7dae13p-10
3,1,0,3,0x1.5513f11a91eb7p-10
3,1,0,4,0x1.85cda5d5390d2p-11
3,1,0,5,0x1.85cda5d5390d2p-12
3,1,1,0,0x1.ef2b31573f51ep-8
3,1,1,1,0x1.be5969c5a1a3fp-9
3,1,1,2,0x1.6514549e1ae9ap-9
3,1,1,3,0x1.dc1b1b7d79377p-10
3,1,1,4,0x1.100f7d6c45445p-10
3,1,2,0,0x1.38d7efebea8dep-7
3,1,2,1,0x1.19fff181ba309p-8
3,1,2,2,0x1.c3331c02c380ep-9
3,1,2,3,0x1.2cccbd572d009p-9
3,1,3,0,0x1.3a3255174fec7p-7
3,1,3,1,0x1.1b382fdb52dc5p-8
3,1,3,2,0x1.c526b2f88493bp-9
3,1,4,0,0x1.0c3e949f84e02p-7
3,1,4,1,0x1.e3987bb7052f1p-9
3,1,5,0,0x1.9255674541fdap-8
3,2,0,0,0x1.5b6fefcb4dcdep-8
3,2,0,1,0x1.392ed0f0f3343p-9
3,2,0,2,0x1.f517b4b4b8537p-10
3,2,0,3,0x1.4e0fcdcdd037ap-10
3,2,0,4,0x1.7dc8eb345bad5p-11
3,2,1,0,0x1.e4fb9a4f64e8ep-8
3,2,1,1,0x1.b52ae8d7cabc4p-9
