height,threshold,known_upper_hex,unknown_moment_hex,total_upper_hex,total_upper_decimal
1,0,0x1.897ca2310f64dp-6,0x1.0bb1eaea2514bp-12,0x1.8dab69dcb7f93p-6,2.42718252001164585e-02
1,1,0x1.665f5ea2f074bp-8,0x1.0bb1eaea2514bp-12,0x1.771a7d5192c6p-8,5.72362479722263174e-03
1,2,0x1.10a6fd7cb3fd5p-10,0x1.0bb1eaea2514bp-12,0x1.539378373d428p-10,1.29537984122164198e-03
1,3,0x1.29705a597e88bp-13,0x1.0bb1eaea2514bp-12,0x1.a06a1816e4591p-12,3.97123746943861078e-04
1,4,0x0p+0,0x1.0bb1eaea2514bp-12,0x1.0bb1eaea2514bp-12,2.55293837321053554e-04
1,5,0x0p+0,0x1.0bb1eaea2514bp-12,0x1.0bb1eaea2514bp-12,2.55293837321053554e-04
1,6,0x0p+0,0x1.0bb1eaea2514bp-12,0x1.0bb1eaea2514bp-12,2.55293837321053554e-04
2,0,0x1.9e7d3cf2e7745p-5,0x1.c0ea0e3b58fc9p-11,0x1.a580e52bd4d85p-5,5.14530635834047693e-02
2,1,0x1.8f03da9f892e5p-7,0x1.c0ea0e3b58fc9p-11,0x1.ab127b833ebe2p-7,1.30332091416586784e-02
2,2,0x1.491207a0bd6b6p-9,0x1.c0ea0e3b58fc9p-11,0x1.b94c8b2f93aa9p-9,3.36684416814788225e-03
2,3,0x1.a7c0c8b25e36dp-12,0x1.c0ea0e3b58fc9p-11,0x1.4a65394a440cp-10,1.26035844965959043e-03
2,4,0x1.c705cc3fc0a5ap-16,0x1.c0ea0e3b58fc9p-11,0x1.cf223c9d5701cp-11,8.83357500849782634e-04
2,5,0x1.dc6b9c15a6d7ep-19,0x1.c0ea0e3b58fc9p-11,0x1.c2c679d76ea37p-11,8.59785645779104625e-04
2,6,0x0p+0,0x1.c0ea0e3b58fc9p-11,0x1.c0ea0e3b58fc9p-11,8.56236037560347973e-04
3,0,0x1.4887cfc2362f1p-4,0x1.267a1cbd08168p-9,0x1.51bba0a81e6fdp-4,8.24543262150676110e-02
3,1,0x1.4e96d96bc912cp-6,0x1.267a1cbd08168p-9,0x1.73661d036a159p-6,2.26683886845945073e-02
3,2,0x1.2a26f95f28333p-8,0x1.267a1cbd08168p-9,0x1.bd6407bdac3e7p-8,6.79612339961097653e-03
3,3,0x1.b743bced05085p-11,0x1.267a1cbd08168p-9,0x1.944b0bf84958ap-9,3.08451195828024928e-03
3,4,0x1.93a5f4f2bad8ep-14,0x1.267a1cbd08168p-9,0x1.33174c649ded5p-9,2.34291846782839564e-03
3,5,0x1.c5a66b8b8ccadp-17,0x1.267a1cbd08168p-9,0x1.283fc32893a35p-9,2.26020104700033276e-03
3,6,0x0p+0,0x1.267a1cbd08168p-9,0x1.267a1cbd08168p-9,2.24668122110942628e-03
