height,a,b,c,upper_hex
1,0,0,0,0x1.f67d3702dddcdp-1
1,1,0,0,0x1.ceaec56ec4d48p-7
1,2,0,0,0x1.ceaec56ec4d48p-9
1,3,0,0,0x1.8c95cdcca8b63p-11
1,4,0,0,0x1.29705a597e88bp-13
2,0,0,0,0x1.ec493fc90156p-1
2,0,1,0,0x1.c549b8af9fbdcp-7
2,0,2,0,0x1.c549b8af9fbdcp-9
2,0,3,0,0x1.84885528d2107p-11
2,0,4,0,0x1.23663fde9d8c6p-13
2,1,0,0,0x1.e8e807c51b116p-7
2,1,1,0,0x1.c22d0b3f2d343p-13
2,1,2,0,0x1.c22d0b3f2d343p-15
2,1,3,0,0x1.81dd775ab9084p-17
2,1,4,0,0x1.216619840ac64p-19
2,2,0,0,0x1.fd76eaef63183p-9
2,2,1,0,0x1.d51b036e1c7ecp-15
2,2,2,0,0x1.d51b036e1c7ecp-17
2,2,3,0,0x1.92172782f3da7p-19
2,2,4,0,0x1.2d915da236e3ep-21
2,3,0,0,0x1.ccc2ae1eeed01p-11
2,3,1,0,0x1.a8427d966f4f9p-17
2,3,2,0,0x1.a8427d966f4f9p-19
2,3,3,0,0x1.6ba6b4ca16444p-21
2,4,0,0,0x1.71d7dd6091059p-13
2,4,1,0,0x1.548b78726156dp-19
2,4,2,0,0x1.548b78726156dp-21
2,5,0,0,0x1.33c2fcb0ba0d6p-17
2,5,1,0,0x1.1b619a30afadcp-23
2,6,0,0,0x1.9e893f75e07a8p-20
3,0,0,0,0x1.e149db29cc2f7p-1
3,0,0,1,0x1.bb295c09057dbp-7
3,0,0,2,0x1.bb295c09057dbp-9
3,0,0,3,0x1.7bda4ee329474p-11
3,0,0,4,0x1.1ce3bb2a5ef58p-13
3,0,1,0,0x1.ddfbf75983b1bp-7
3,0,1,1,0x1.b81e7acf034f9p-13
3,0,1,2,0x1.b81e7acf034f9p-15
3,0,1,3,0x1.793eb2684bfb2p-17
3,0,1,4,0x1.1aef05ce38fc7p-19
3,0,2,0,0x1.f21547f81dafdp-9
3,0,2,1,0x1.caa030cea2797p-15
3,0,2,2,0x1.caa030cea2797p-17
3,0,2,3,0x1.891b978c8b439p-19
3,0,2,4,0x1.26d4b1a96872cp-21
3,0,3,0,0x1.c2779539afbd4p-11
3,0,3,1,0x1.9ec82446f0efdp-17
3,0,3,2,0x1.9ec82446f0efdp-19
3,0,3,3,0x1.6386fa85f316cp-21
3,0,4,0,0x1.6994b98fb6743p-13
3,0,4,1,0x1.4cefe38499d05p-19
3,0,4,2,0x1.4cefe38499d05p-21
3,0,5,0,0x1.2ce2e485adaa6p-17
3,0,5,1,0x1.150cf09c8e157p-23
3,0,6,0,0x1.9546822c3848cp-20
3,1,0,0,0x1.02e8a0d7cc0bdp-6
3,1,0,1,0x1.dccbf4d2108bbp-13
3,1,0,2,0x1.dccbf4d2108bbp-15
3,1,0,3,0x1.98aed1d8a077dp-17
3,1,0,4,0x1.32831d627859fp-19
3,1,1,0,0x1.0121952589fd7p-12
3,1,1,1,0x1.d985f60432c5cp-19
3,1,1,2,0x1.d985f60432c5cp-21
3,1,1,3,0x1.95e089ba74a9ap-23
3,1,1,4,0x1.3068674bd77f4p-25
3,1,2,0,0x1.0bf18000d969p-14
3,1,2,1,0x1.ed6f41649960bp-21
3,1,2,2,0x1.ed6f41649960bp-23
3,1,2,3,0x1.a6f1a5c3f12e6p-25
3,1,3,0,0x1.e4a82050a1df6p-17
3,1,3,1,0x1.be435268fba1bp-23
3,1,3,2,0x1.be435268fba1bp-25
3,1,4,0,0x1.8506376ae7a38p-19
3,1,4,1,0x1.6634d4e735de7p-25
3,1,5,0,0x1.43b9176e842c3p-23
3,2,0,0,0x1.199d2bbe81b01p-8
3,2,0,1,0x1.034e0f5c62aep-14
3,2,0,2,0x1.034e0f5c62aep-16
3,2,0,3,0x1.bc85d130a92a5p-19
3,2,0,4,0x1.4d645ce47edfdp-21
3,2,1,0,0x1.17ae3832b10a6p-14
3,2,1,1,0x1.018651649aa64p-20
3,2,1,2,0x1.018651649aa64p-22
3,2,1,3,0x1.b9788b87e48acp-25
3,2,2,0,0x1.2370df4059ffp-16
3,2,2,1,0x1.0c5a78a0616aep-22
3,2,2,2,0x1.0c5a78a0616aep-24
3,2,3,0,0x1.07945fe10bc4cp-18
3,2,3,1,0x1.e565ff986f28cp-25
3,2,4,0,0x1.a723dfffc41b4p-21
3,3,0,0,0x1.0d11a158dc515p-10
3,3,0,1,0x1.ef81dd8effacfp-17
3,3,0,2,0x1.ef81dd8effacfp-19
3,3,0,3,0x1.a8b874c3b6945p-21
3,3,1,0,0x1.0b38ba40b7019p-16
3,3,1,1,0x1.ec1afc3c9c39ep-23
3,3,1,2,0x1.ec1afc3c9c39ep-25
3,3,2,0,0x1.167543a99df3bp-18
3,3,2,1,0x1.006627912d219p-24
3,3,3,0,0x1.f7acff5a05b24p-21
3,4,0,0,0x1.ce49fc56ba1cbp-13
3,4,0,1,0x1.a9aacc2834c8p-19
3,4,0,2,0x1.a9aacc2834c8p-21
3,4,1,0,0x1.cb1d7d089edc3p-19
3,4,1,1,0x1.a6beaa3d3ab3p-25
3,4,2,0,0x1.de6baf6f16446p-21
3,5,0,0,0x1.67672f81baa96p-16
3,5,0,1,0x1.4aee8451fbfe8p-22
3,5,1,0,0x1.64ef8407d37cbp-22
3,6,0,0,0x1.071f16efb3801p-18
