height,mass_upper_hex,mean_upper_hex,unknown_prob_hex,unknown_moment_hex,exit_prob_hex,exit_moment_hex,seconds
1,0x1.000000000006ap+0,0x1.01d83dfbe0512p+0,0x1.2ec9580691337p-455,0x1.313c031c54402p-448,0x0p+0,0x0p+0,0.0295887
2,0x1.0000000000107p+0,0x1.1d0f134c3e85bp+0,0x1.2ec9580691339p-454,0x1.34ccbc3d7c519p-447,0x0.000000000005cp-1022,0x0.000000000006p-1022,0.0225155
3,0x1.000000000010ap+0,0x1.3e45831c874c1p+0,0x1.2ec958069133bp-453,0x1.389dd58cc0119p-446,0x1.ab1aff91af289p-831,0x1.d4ec824f733c9p-823,0.0324455
4,0x1.0000000000114p+0,0x1.7215647fb97bdp-1,0x1.2ec958069133dp-452,0x1.3cbd7f8a25f37p-445,0x1.f987c95ed77f5p-643,0x1.15930f9b88476p-634,0.349899
5,0x1.0000000000133p+0,0x1.79d8d64870aa1p-1,0x1.2ec958069134ep-451,0x1.3fa20130c7f5p-444,0x1.ed07175eb8c41p-500,0x1.0ed07526477dbp-491,0.350461
6,0x1.000000000016ep+0,0x1.b50fc97fdecbdp-1,0x1.0b3a850dcf3f9p-404,0x1.25bd670e404a2p-396,0x1.0b3a850dcf3adp-404,0x1.25bd670e40479p-396,0.277228
7,0x1.00000000001ecp+0,0x1.a8d9cdc76ac05p-1,0x1.abe3fea10d45ap-343,0x1.d69bb8a5bb401p-335,0x1.abe3fea10d459p-343,0x1.d69bb8a5bb4p-335,0.290327
8,0x1.00000000002e8p+0,0x1.068f0a997a02ep+0,0x1.6629235af4acep-297,0x1.8a26550103983p-289,0x1.6629235af49f8p-297,0x1.8a26550103896p-289,0.268001
9,0x1.00000000004dfp+0,0x1.80f8c910fcac1p+0,0x1.3d076ee43051ep-260,0x1.5d17764ed87b5p-252,0x1.3d076ee419ef4p-260,0x1.5d17764ebfb6cp-252,0.260392
10,0x1.00000000008d1p+0,0x1.2234bcab6a671p+1,0x1.628cc1810093ap-228,0x1.86a6bd7d1117p-220,0x1.628cc17e8684cp-228,0x1.86a6bd7a51f18p-220,0.270735
11,0x1.00000000010bcp+0,0x1.d6372b5167173p+1,0x1.3a9f7578628dfp-198,0x1.5ae68ec6368p-190,0x1.3a9f756d4e27ep-198,0x1.5ae68eb9e2a11p-190,0.268099
12,0x1.00000000020a5p+0,0x1.8dd2e48f47b97p+2,0x1.d9420d0f1223cp-169,0x1.051e7347f6a78p-160,0x1.d9420cfb682c6p-169,0x1.051e733cf66a4p-160,0.249335
13,0x1.0000000004072p+0,0x1.63125c9691bb2p+3,0x1.79806e772ad97p-138,0x1.a10574b7e365dp-130,0x1.79806e6fc5d13p-138,0x1.a10574af88c89p-130,0.264455
14,0x1.0000000008026p+0,0x1.4bc99faecc004p+4,0x1.9fd2e9d5365a7p-106,0x1.cc14f6ee9e5dap-98,0x1.9fd2e9d243599p-106,0x1.cc14f6eb3a1fbp-98,0.272473
15,0x1.000000000ffc3p+0,0x1.3fd09c267452ep+5,0x1.d098c9877945ap-73,0x1.01b20bb5c4ea8p-64,0x1.d098c985d972bp-73,0x1.01b20bb4cda0ap-64,0.276012
16,0x1.000000001f3bp+0,0x1.31d0d14df87e1p+6,0x1.7dc44694084c7p-41,0x1.a9b239a3b0167p-33,0x1.7dc44690671adp-41,0x1.a9b2399f16636p-33,0.258802
17,0x1.fff7b7362fb7ep-1,0x1.2ad0d151943edp+7,0x1.09194a0e7deeep-14,0x1.2bf19e90525eap-6,0x1.091949af0cdd3p-14,0x1.2bf19e093533bp-6,0.275967
18,0x1.7e90641467f67p-2,0x1.2750f29b9dfaap+8,0x1.40b7ce191d4fap-1,0x1.920dd10a6fb19p+7,0x1.40a73c847c67cp-1,0x1.91f15e2a5042ap+7,0.27066
19,0x1.a1b30de1557f5p-28,0x1.a54f15321478p+9,0x1.647301c0dc65p+0,0x1.a54f15242b0ep+9,0x1.1dd99d3df8aa1p-3,0x1.17db15db2ccd5p+6,0.310489
20,0x1.c11e7d1d11342p-123,0x1.f823b863bd2b8p+11,0x1.647301c0dc652p+1,0x1.f823b863bd2b7p+11,0x1.54c4683a413c6p-55,0x1.68dab1706ce0ep-46,0.278298
21,0x1.c376676dd4761p-360,0x1.dd0e25a639859p+14,0x1.647301c0dc654p+2,0x1.dd0e25a639858p+14,0x1.89f5fb40c332cp-245,0x1.a6b298ec4a96ep-236,0.271141
22,0x1.0e0ea60144ac2p-882,0x1.87c227a50b82p+18,0x1.647301c0dc656p+3,0x1.87c227a50b81fp+18,0x1.8e1533983edd7p-719,0x1.ad2f31bc6b8c9p-710,1.51531
23,0x0.0000010af51b2p-1022,0x1.293937c59cecap+23,0x1.647301c0dc658p+4,0x1.293937c59cec9p+23,0x0.0000000000119p-1022,0x0.0000000000119p-1022,0.277098
24,0x0.0000010af51b2p-1022,0x1.b06cad2cccd4p+28,0x1.647301c0dc65ap+5,0x1.b06cad2cccd3fp+28,0x0.0000000000119p-1022,0x0.0000000000119p-1022,0.268732
25,0x0.0000010af51b2p-1022,0x1.33ce65076a371p+35,0x1.647301c0dc65cp+6,0x1.33ce65076a37p+35,0x0.0000000000119p-1022,0x0.0000000000119p-1022,0.274436
