height,mass_upper_hex,mean_upper_hex,unknown_prob_hex,unknown_moment_hex,exit_prob_hex,exit_moment_hex,seconds
1,0x1.0000000000079p+0,0x1.01d83dfbe0529p+0,0x1.2ec95806913b5p-455,0x1.313c031c5447fp-448,0x0p+0,0x0p+0,0.0287712
2,0x1.000000000011fp+0,0x1.30401c487a98cp+0,0x1.2ec95806913b8p-454,0x1.35fb859582eadp-447,0x0.00001f3da5ad8p-1022,0x0.00224b6f0d02cp-1022,0.0257491
3,0x1.0000000000138p+0,0x1.6d63d865cb57ep+0,0x1.2ec95806913bbp-453,0x1.3b28ce1e33285p-446,0x1.5f1f136320992p-799,0x1.8181f63de7cadp-791,0.0528553
4,0x1.000000000017p+0,0x1.2f8224f9b78afp+0,0x1.2ec95806913bep-452,0x1.40e6b722e1aacp-445,0x1.b0067111fee35p-605,0x1.da737f861d395p-597,2.12154
5,0x1.00000000001e3p+0,0x1.61b9193b927cap+0,0x1.378aa5ebe700bp-451,0x1.594f3c3890f5dp-444,0x1.1829bcaab893p-456,0x1.33cfdeb4ddf2ap-448,2.38358
6,0x1.00000000002cbp+0,0x1.ecdd2e0352738p+0,0x1.07c46be0be6d7p-354,0x1.21ffb317b31c9p-346,0x1.07c46be0be6d6p-354,0x1.21ffb317b31c8p-346,2.23719
7,0x1.000000000049dp+0,0x1.5773be40df3ddp+1,0x1.c1c8ecc1f7c2bp-286,0x1.eee4dfed8c2f8p-278,0x1.c1c8ecc1f7c2ap-286,0x1.eee4dfed8c2f7p-278,2.30166
8,0x1.0000000000843p+0,0x1.0a5369e6da9e1p+2,0x1.52fb27d9a4e6ep-232,0x1.754d10159e522p-224,0x1.52fb27d9a4e6cp-232,0x1.754d10159e52p-224,2.25278
9,0x1.0000000000f9dp+0,0x1.e2709bf093101p+2,0x1.2101be157efa9p-186,0x1.3e9819c47f086p-178,0x1.2101be157eeffp-186,0x1.3e9819c47efc7p-178,2.29223
10,0x1.0000000001e59p+0,0x1.c494ccc1d50c1p+3,0x1.1fb537ea11629p-144,0x1.3d933575ec11cp-136,0x1.1fb537ea10d2p-144,0x1.3d933575eb6d9p-136,2.22386
11,0x1.0000000003c08p+0,0x1.b4c3554eebb0ap+4,0x1.5a5c0776da4cfp-104,0x1.7f09fa35fe41ap-96,0x1.5a5c0776d80d7p-104,0x1.7f09fa35fba46p-96,2.27529
12,0x1.00000000077e3p+0,0x1.acc3c96980b9bp+5,0x1.1bfd2d09df076p-65,0x1.3b1251e43e32cp-57,0x1.1bfd2d09d99dep-65,0x1.3b1251e4379d6p-57,2.22336
13,0x1.fffffff78b9dfp-1,0x1.a8c3c974b152cp+6,0x1.125227ec0717ep-30,0x1.328810306434ap-22,0x1.125227ebc0188p-30,0x1.32881030064bep-22,2.32609
14,0x1.f427f59d9fb4cp-1,0x1.a6c3c974ed592p+7,0x1.7b014c53b817p-6,0x1.b43b8821a307dp+2,0x1.7b014a2f13c71p-6,0x1.b43b84d6d953cp+2,2.22621
15,0x1.52c3f70d21c93p-11,0x1.a62c114330af6p+8,0x1.fff1729db502p-1,0x1.a5ff6d8b2d2fdp+8,0x1.e8415dd879808p-1,0x1.8e8a213f7c613p+8,2.25262
16,0x1.340338538741fp-78,0x1.a68fbf8b66dccp+10,0x1.fff1799edd3bbp+0,0x1.a68fbf8b66dcbp+10,0x1.c04a0e60f9b8p-22,0x1.d5f236dabca1ep-13,2.30003
17,0x1.a22502d3baefdp-273,0x1.3d05d05523a47p+13,0x1.fff1799edd3bep+1,0x1.3d05d05523a46p+13,0x1.7297bf935be49p-156,0x1.8db088d104bd2p-147,2.3358
18,0x1.9fc3df9ff965dp-729,0x1.8c4645d2f60e8p+16,0x1.fff1799edd3c1p+2,0x1.8c4645d2f60e7p+16,0x1.557e714a9fe7cp-545,0x1.70c367442e7a2p-536,2.3198
19,0x0.00000215ea363p-1022,0x1.bdc4d098965ccp+20,0x1.fff1799edd3c4p+3,0x1.bdc4d098965cbp+20,0x0.0000000000231p-1022,0x0.0000000000231p-1022,2.10471
20,0x0.00000215ea363p-1022,0x1.d9948840e2bdfp+25,0x1.fff1799edd3c7p+4,0x1.d9948840e2bdep+25,0x0.0000000000231p-1022,0x0.0000000000231p-1022,2.11499
21,0x0.00000215ea363p-1022,0x1.e853bda773f81p+31,0x1.fff1799edd3cap+5,0x1.e853bda773f8p+31,0x0.0000000000231p-1022,0x0.0000000000231p-1022,2.14812
22,0x0.00000215ea363p-1022,0x1.efe7322b527d9p+38,0x1.fff1799edd3cdp+6,0x1.efe7322b527d8p+38,0x0.0000000000231p-1022,0x0.0000000000231p-1022,2.10969
23,0x0.00000215ea363p-1022,0x1.f3b8ef15b6d9fp+46,0x1.fff1799edd3dp+7,0x1.f3b8ef15b6d9ep+46,0x0.0000000000231p-1022,0x0.0000000000231p-1022,2.21784
24,0x0.00000215ea363p-1022,0x1.f59e7ace0df3cp+55,0x1.fff1799edd3d3p+8,0x1.f59e7ace0df3bp+55,0x0.0000000000231p-1022,0x0.0000000000231p-1022,2.1301
25,0x0.00000215ea363p-1022,0x1.f68b0f0e74a05p+65,0x1.fff1799edd3d6p+9,0x1.f68b0f0e74a04p+65,0x0.0000000000231p-1022,0x0.0000000000231p-1022,2.12735
