height,mass_upper_hex,mean_upper_hex,unknown_prob_hex,unknown_moment_hex,exit_prob_hex,exit_moment_hex,seconds
1,0x1.0000000000079p+0,0x1.901c7a02c51dp-1,0x1.12a1e9700b96bp-471,0x1.14d89e3a45c11p-464,0x0p+0,0x0p+0,0.0364486
2,0x1.0000000000124p+0,0x1.fc98b75193807p-1,0x1.12a1e9700b96ep-470,0x1.19bdbf7feea08p-463,0x0.00000088712fap-1022,0x0.000095c86c178p-1022,0.0380406
3,0x1.0000000000141p+0,0x1.48683bb4b98f6p+0,0x1.12a1e9700b971p-469,0x1.1f17425c44f67p-462,0x1.5f1f1363209b7p-799,0x1.8181f63de7cd8p-791,0.0749132
4,0x1.0000000000185p+0,0x1.497a391dab593p+0,0x1.12a1e9700b974p-468,0x1.250fc6a26c45bp-461,0x1.d0097ed84c2bfp-600,0x1.fd9c3585c457bp-592,2.87758
5,0x1.000000000020ep+0,0x1.a56c837907ff2p+0,0x1.24f494d38b996p-448,0x1.41df8fef86309p-440,0x1.24f4727f4e6b5p-448,0x1.41df7d3edcc42p-440,3.02892
6,0x1.000000000031fp+0,0x1.4aeb6d0f4066dp+1,0x1.7debc3d33ccd4p-344,0x1.a3ec747a337adp-336,0x1.7debc3d33ccd3p-344,0x1.a3ec747a337acp-336,3.05582
7,0x1.000000000054p+0,0x1.0ad0a3a7a532ap+2,0x1.1f7821236f3f4p-272,0x1.3c54d6e5674d6p-264,0x1.1f7821236f3f3p-272,0x1.3c54d6e5674d5p-264,3.05455
8,0x1.0000000000998p+0,0x1.cc23f76151e9p+2,0x1.637e265927614p-215,0x1.878e668f62c74p-207,0x1.637e265927613p-215,0x1.878e668f62c73p-207,3.05911
9,0x1.000000000124fp+0,0x1.bdaa54e42432ep+3,0x1.11d703a59dd6bp-164,0x1.2dfc4dbd04fc5p-156,0x1.11d703a59dd64p-164,0x1.2dfc4dbd04fbep-156,2.93563
10,0x1.00000000023eep+0,0x1.b5be418f548e6p+4,0x1.451411307f10ap-117,0x1.671b2f2052a7ap-109,0x1.451411307f0c5p-117,0x1.671b2f2052a29p-109,3.00364
11,0x1.00000000047bap+0,0x1.b1be7270aaf63p+5,0x1.06fc2aa03ff7ep-72,0x1.235e9da126c8dp-64,0x1.06fc2aa03fe38p-72,0x1.235e9da126bp-64,3.03159
12,0x1.fffffffe8aee4p-1,0x1.afbe72721246p+6,0x1.87394360614a1p-33,0x1.b458bd31446a1p-25,0x1.873943605d2e1p-33,0x1.b458bd313ef79p-25,3.009
13,0x1.f3c9bf586fc82p-1,0x1.aebe7272288e5p+7,0x1.86c814f6b36aep-6,0x1.c0a47cdf21456p+2,0x1.86c81494e519fp-6,0x1.c0a47c483b995p+2,3.02195
14,0x1.4d110389c822ep-13,0x1.aeac6776d3cefp+8,0x1.001adfdbcc3acp+0,0x1.aea15fd1d8f5ep+8,0x1.e7c93e682d3ebp-1,0x1.9643cf603f28p+8,3.05277
15,0x1.208d6a84c40e3p-92,0x1.af7d9313cf07dp+10,0x1.001ae011f6e38p+1,0x1.af7d9313cf07cp+10,0x1.b1554455eb189p-26,0x1.cac95317dc6a8p-17,3.0258
16,0x1.f7103831645f3p-320,0x1.43e4d98f6abb3p+13,0x1.001ae011f6e3bp+2,0x1.43e4d98f6abb2p+13,0x1.453e7dc93bc4bp-184,0x1.5e0f8d7ed5403p-175,3.03755
17,0x1.01e2fa867ac7fp-850,0x1.950c11f2d7c0dp+16,0x1.001ae011f6e3ep+3,0x1.950c11f2d7c0cp+16,0x1.ee485eec95898p-639,0x1.0b6df886e0d0dp-629,5.98854
18,0x0.00000215ea363p-1022,0x1.c7d99a1a51a22p+20,0x1.001ae011f6e41p+4,0x1.c7d99a1a51a21p+20,0x0.0000000000231p-1022,0x0.0000000000231p-1022,2.85245
19,0x0.00000215ea363p-1022,0x1.e48726d686563p+25,0x1.001ae011f6e44p+5,0x1.e48726d686562p+25,0x0.0000000000231p-1022,0x0.0000000000231p-1022,2.90977
20,0x0.00000215ea363p-1022,0x1.f3de3e9f82ba4p+31,0x1.001ae011f6e47p+6,0x1.f3de3e9f82ba3p+31,0x0.0000000000231p-1022,0x0.0000000000231p-1022,2.8941
21,0x0.00000215ea363p-1022,0x1.fbe231b4e7ecfp+38,0x1.001ae011f6e4ap+7,0x1.fbe231b4e7ecep+38,0x0.0000000000231p-1022,0x0.0000000000231p-1022,2.90125
22,0x0.00000215ea363p-1022,0x1.0007a3cd79b92p+47,0x1.001ae011f6e4dp+8,0x1.0007a3cd79b91p+47,0x0.0000000000231p-1022,0x0.0000000000231p-1022,2.96556
23,0x0.00000215ea363p-1022,0x1.01228c5090d69p+56,0x1.001ae011f6e5p+9,0x1.01228c5090d68p+56,0x0.0000000000231p-1022,0x0.0000000000231p-1022,3.02411
24,0x0.00000215ea363p-1022,0x1.01be1c293f5d4p+66,0x1.001ae011f6e53p+10,0x1.01be1c293f5d3p+66,0x0.0000000000231p-1022,0x0.0000000000231p-1022,2.84055
25,0x0.00000215ea363p-1022,0x1.02199a9794b56p+77,0x1.001ae011f6e56p+11,0x1.02199a9794b55p+77,0x0.0000000000231p-1022,0x0.0000000000231p-1022,2.90875
