height,mass_upper_hex,mean_upper_hex,unknown_prob_hex,unknown_moment_hex,exit_prob_hex,exit_moment_hex,seconds
1,0x1.000000000006ep+0,0x1.19b531acaa0a2p-6,0x1.fd7482f26fa9bp-524,0x1.00c3bf5947e86p-516,0x0p+0,0x0p+0,0.030441
2,0x1.0000000000112p+0,0x1.2294699d4d6e5p-5,0x1.7e176235d3bf6p-522,0x1.872f817a92e88p-515,0x0.0000000000053p-1022,0x0.0000000000053p-1022,0.0269595
3,0x1.000000000011dp+0,0x1.c22f6c7e2b42dp-5,0x1.bdc5f29421b4bp-521,0x1.d07921f385dbep-514,0x1.f0c70a9ddd92cp-872,0x1.10b60efe735c1p-863,0.0327725
4,0x1.000000000013dp+0,0x1.e99a9670aa87ap-5,0x1.dd9d3ac348af6p-520,0x1.fb3c3be10f4a4p-513,0x1.9b93c2d93aea3p-711,0x1.c3fb4c3c5316ap-703,0.363498
5,0x1.0000000000176p+0,0x1.06594f0dce829p-4,0x1.ed88dedadc2ccp-519,0x1.0b5b865528916p-511,0x1.68e2267590a56p-623,0x1.8c6e31c40b889p-615,0.389818
6,0x1.00000000001fp+0,0x1.15247aaf237dbp-4,0x1.f57eb0e6a5eb8p-518,0x1.1547d15eabc6ep-510,0x1.168dcdd281f68p-577,0x1.320dc82bd5b26p-569,0.365956
7,0x1.00000000002e4p+0,0x1.1c1d611f29d14p-4,0x1.f97999f5d7765p-517,0x1.1d4c4d74edebap-509,0x1.29956d12d358ep-546,0x1.4702c6cae67e4p-538,0.345277
8,0x1.00000000004c8p+0,0x1.21dca63093846p-4,0x1.fe4223c3584eap-516,0x1.276eb90c44c65p-508,0x1.658aa547344c2p-523,0x1.88f24747bbfb4p-515,0.375044
9,0x1.0000000000893p+0,0x1.2658260f71ba5p-4,0x1.979d7d293eabbp-505,0x1.bfc57ff30d05p-497,0x1.971dacf1bd774p-505,0x1.bf79fc6ab1fdcp-497,0.364243
10,0x1.0000000001025p+0,0x1.2925a7ca4a363p-4,0x1.41476469f02e2p-490,0x1.612975908bb89p-482,0x1.414105f37c2cp-490,0x1.612262e9befd1p-482,0.36565
11,0x1.0000000001f51p+0,0x1.2b6353e527a2p-4,0x1.512f20061ef08p-478,0x1.72ad1fd0839a5p-470,0x1.5106f71991aa8p-478,0x1.72807f3d35b25p-470,0.373439
12,0x1.0000000003da2p+0,0x1.2d1d480137223p-4,0x1.6e49db4d3241dp-468,0x1.92b48a5cd205dp-460,0x1.6da143bd2f325p-468,0x1.91f92db392c9cp-460,0.345002
