axis,condition_1,condition_2,workload,baseline,variant,n,baseline_bytes_per_request,variant_bytes_per_request,saving_pct,ci95_lower,ci95_upper,source_sha256
backend,depth,False,hot90,path,sde,5,59136.0,53438.44375,9.634666277732682,9.451063151892036,9.818269403573328,658987676d95a526bfc739d21439bfe3b115b009d0358222c28cc2b4ea49a258
backend,depth,False,hot90,deferred,sde,5,66057.625,53438.44375,19.103292390545374,18.93892749777618,19.267657283314566,658987676d95a526bfc739d21439bfe3b115b009d0358222c28cc2b4ea49a258
backend,depth,False,uniform,path,sde,5,59136.0,53342.81875,9.796369808576843,9.4771229156983,10.115616701455385,658987676d95a526bfc739d21439bfe3b115b009d0358222c28cc2b4ea49a258
backend,depth,False,uniform,deferred,sde,5,66057.625,53342.81875,19.248052363372132,18.96225667729856,19.533848049445705,658987676d95a526bfc739d21439bfe3b115b009d0358222c28cc2b4ea49a258
backend,depth,True,hot90,path,sde,5,59136.0,53410.11875,9.682564343208876,9.478363557725661,9.88676512869209,658987676d95a526bfc739d21439bfe3b115b009d0358222c28cc2b4ea49a258
backend,depth,True,hot90,deferred,sde,5,66057.625,53410.11875,19.14617161909772,18.963367322843727,19.328975915351716,658987676d95a526bfc739d21439bfe3b115b009d0358222c28cc2b4ea49a258
backend,depth,True,uniform,path,sde,5,59136.0,53355.20625,9.775422331574674,9.59940126433606,9.95144339881329,658987676d95a526bfc739d21439bfe3b115b009d0358222c28cc2b4ea49a258
backend,depth,True,uniform,deferred,sde,5,66057.625,53355.20625,19.22929979695758,19.071722502402668,19.386877091512492,658987676d95a526bfc739d21439bfe3b115b009d0358222c28cc2b4ea49a258
backend,uniform,False,hot90,path,sde,5,70912.0,61161.20625,13.75055526568141,13.591191583790394,13.909918947572425,658987676d95a526bfc739d21439bfe3b115b009d0358222c28cc2b4ea49a258
backend,uniform,False,hot90,deferred,sde,5,76640.875,61161.20625,20.1976670412492,20.05021573135412,20.345118351144283,658987676d95a526bfc739d21439bfe3b115b009d0358222c28cc2b4ea49a258
backend,uniform,False,uniform,path,sde,5,70912.0,61033.80625,13.930214561710288,13.58670190234842,14.273727221072157,658987676d95a526bfc739d21439bfe3b115b009d0358222c28cc2b4ea49a258
backend,uniform,False,uniform,deferred,sde,5,76640.875,61033.80625,20.363896876177368,20.046061651818714,20.68173210053602,658987676d95a526bfc739d21439bfe3b115b009d0358222c28cc2b4ea49a258
backend,uniform,True,hot90,path,sde,5,70912.0,61120.25625,13.808302896547833,13.623648904774285,13.99295688832138,658987676d95a526bfc739d21439bfe3b115b009d0358222c28cc2b4ea49a258
backend,uniform,True,hot90,deferred,sde,5,76640.875,61120.25625,20.251098059618972,20.080246880471474,20.42194923876647,658987676d95a526bfc739d21439bfe3b115b009d0358222c28cc2b4ea49a258
backend,uniform,True,uniform,path,sde,5,70912.0,61055.41875,13.899736645419674,13.707768571475377,14.091704719363971,658987676d95a526bfc739d21439bfe3b115b009d0358222c28cc2b4ea49a258
backend,uniform,True,uniform,deferred,sde,5,76640.875,61055.41875,20.33569717203777,20.158078635460026,20.51331570861551,658987676d95a526bfc739d21439bfe3b115b009d0358222c28cc2b4ea49a258
layout,deferred,False,hot90,uniform,depth,5,76640.875,66057.625,13.808884619336615,13.808884619336615,13.808884619336615,658987676d95a526bfc739d21439bfe3b115b009d0358222c28cc2b4ea49a258
layout,deferred,False,uniform,uniform,depth,5,76640.875,66057.625,13.808884619336615,13.808884619336615,13.808884619336615,658987676d95a526bfc739d21439bfe3b115b009d0358222c28cc2b4ea49a258
layout,deferred,True,hot90,uniform,depth,5,76640.875,66057.625,13.808884619336615,13.808884619336615,13.808884619336615,658987676d95a526bfc739d21439bfe3b115b009d0358222c28cc2b4ea49a258
layout,deferred,True,uniform,uniform,depth,5,76640.875,66057.625,13.808884619336615,13.808884619336615,13.808884619336615,658987676d95a526bfc739d21439bfe3b115b009d0358222c28cc2b4ea49a258
layout,path,False,hot90,uniform,depth,5,70912.0,59136.0,16.60649819494585,16.60649819494585,16.60649819494585,658987676d95a526bfc739d21439bfe3b115b009d0358222c28cc2b4ea49a258
layout,path,False,uniform,uniform,depth,5,70912.0,59136.0,16.60649819494585,16.60649819494585,16.60649819494585,658987676d95a526bfc739d21439bfe3b115b009d0358222c28cc2b4ea49a258
layout,path,True,hot90,uniform,depth,5,70912.0,59136.0,16.60649819494585,16.60649819494585,16.60649819494585,658987676d95a526bfc739d21439bfe3b115b009d0358222c28cc2b4ea49a258
layout,path,True,uniform,uniform,depth,5,70912.0,59136.0,16.60649819494585,16.60649819494585,16.60649819494585,658987676d95a526bfc739d21439bfe3b115b009d0358222c28cc2b4ea49a258
layout,sde,False,hot90,uniform,depth,5,61161.20625,53438.44375,12.626910542037038,12.597280750603714,12.656540333470362,658987676d95a526bfc739d21439bfe3b115b009d0358222c28cc2b4ea49a258
layout,sde,False,uniform,uniform,depth,5,61033.80625,53342.81875,12.601109925472231,12.557444199304932,12.64477565163953,658987676d95a526bfc739d21439bfe3b115b009d0358222c28cc2b4ea49a258
layout,sde,True,hot90,uniform,depth,5,61120.25625,53410.11875,12.614711222393842,12.592388116155671,12.637034328632012,658987676d95a526bfc739d21439bfe3b115b009d0358222c28cc2b4ea49a258
